formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded,True_Structural_Tag
CsPbI3,9.49248427336069,9.49248427336069,13.6278,2.567,1.81,1.19,2.2,0.79,2.33,2.66,0.47,0.36,3.06,0.8364301452973614,0.5409090909090909,1227.9636862115042,0.9747171235109662,0.33,0.5409090909090909,0.1793230027965839,0.1349420464894623,2.5344,0.2089333854525072,Metastable,Pb,1,5,Metastable
CsPbBr3,8.820449988520993,8.820449988520993,12.662999999999998,2.648,1.81,1.19,1.96,0.79,2.33,2.96,0.47,0.36,3.36,0.8462833539915188,0.6071428571428571,985.1856800939996,0.9772585122310528,0.6299999999999999,0.6071428571428571,0.1793230027965839,0.1284185925728397,2.3959199999999994,0.1690723312720037,Metastable,Pb,1,5,Metastable
CsPbCl3,8.400428560496186,8.400428560496186,12.06,2.482,1.81,1.19,1.81,0.79,2.33,3.16,0.47,0.36,3.61,0.8532421826317673,0.6574585635359116,851.0404320000002,0.8708152681516779,0.8300000000000001,0.6574585635359116,0.1793230027965838,0.1250381739602104,2.30937,0.13841901870077,Metastable,Pb,1,5,Metastable
CsPbF3,7.056359990816795,7.056359990816795,10.1304,2.246,1.81,1.19,1.33,0.79,2.33,3.98,0.47,0.36,3.4,0.8810774971927615,0.894736842105263,504.415068208128,1.3062700016886266,1.65,0.894736842105263,0.1793230027965839,0.1218467307327193,2.03241,-0.0096571568531385,Metastable,Pb,1,5,Metastable
CsSnI3,9.240471416545804,9.240471416545804,13.266,2.843,1.81,1.1,2.2,0.79,1.96,2.66,0.47,1.11,3.06,0.859241876532744,0.5,1132.734814992,0.9269243145911564,0.7000000000000002,0.5,0.179323002796584,0.1449769468621367,2.55647,0.25398400670865,Metastable,Sn,1,6,Metastable
CsSnBr3,8.568437131706109,8.568437131706109,12.3012,2.675,1.81,1.1,1.96,0.79,1.96,2.96,0.47,1.11,3.36,0.8711740408736223,0.5612244897959184,903.130914761856,0.9033278439096752,1.0,0.5612244897959184,0.1793230027965839,0.1384435619097591,2.41799,0.2191343326119366,Metastable,Sn,1,6,Metastable
CsSnCl3,8.1484157036813,8.1484157036813,11.6982,2.701,1.81,1.1,1.81,0.79,1.96,3.16,0.47,1.11,3.61,0.879631116115224,0.6077348066298343,776.7216241947363,0.7649345576234909,1.2000000000000002,0.6077348066298343,0.1793230027965839,0.1350922139476116,2.33144,0.1922306908061705,Metastable,Sn,1,6,Metastable
CsSnF3,4.86,4.86,4.86,2.315,1.81,1.1,1.33,0.79,1.96,3.98,0.47,1.11,3.4,0.9137099970887896,0.8270676691729324,114.79125600000002,4.459786396970863,2.02,0.8270676691729324,0.0,0.522494755553028,2.05448,0.0612561258365109,Stable_Cubic,Sn,1,6,Stable_Cubic
CsGeI3,5.86,5.86,5.86,2.136,1.81,0.73,2.2,0.79,2.01,2.66,0.47,1.23,3.06,0.9677468233986536,0.3318181818181818,201.23005600000005,4.8372920395152095,0.6500000000000004,0.3318181818181818,0.0,0.7964747866417734,2.33298,0.4496015495973935,Stable_Cubic,Ge,1,2,Stable_Cubic
CsGeBr3,5.38,5.38,5.38,1.919,1.81,0.73,1.96,0.79,2.01,2.96,0.47,1.23,3.36,0.9910009535588415,0.3724489795918367,155.720872,4.747420166000612,0.9500000000000002,0.3724489795918367,0.0,0.7775893494031753,2.1945,0.4373162455946723,Stable_Cubic,Ge,1,2,Stable_Cubic
CsGeCl3,5.08,5.08,5.08,1.841,1.81,0.73,1.81,0.79,2.01,3.16,0.47,1.23,3.61,1.0077663574390952,0.4033149171270718,131.096512,3.948162388942889,1.1500000000000004,0.4033149171270718,0.0,0.7702971889135878,2.1079499999999998,0.4273471683006004,Stable_Cubic,Ge,1,2,Stable_Cubic
