formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
CsCaCl3,3.84,3.84,3.84,,1.81,1.14,0.78,0.79,1,3.16,0.471598338,0.024551,3.61272528,0.953857585,1.461538462,56.623104,8.192050282,2.16,1.461538462,0,0.653579753,1.95221,-0.35893038,Stable_Cubic,Ca,0,0
CsCaBr3,4.045,4.045,4.045,,1.81,1.14,0.8825,0.79,1,2.96,0.471598338,0.024551,3.3635883,0.941352291,1.291784703,66.18439112,10.35436444,1.96,1.291784703,0,0.599554367,2.0113525,-0.247755715,Stable_Cubic,Ca,0,0
CsCaI3,4.826666667,4.826666667,4.826666667,,1.81,1.14,1.273333333,0.79,1,2.66,0.471598338,0.024551,3.059046537,0.903416813,0.895287958,112.445459,8.176726704,1.66,0.895287958,0,0.506808135,2.236863333,0.0057471,Stable_Cubic,Ca,0,0
CsCaF3,3.69,3.69,3.69,,1.81,1.14,0.705,0.79,1,3.98,0.471598338,0.024551,3.401189824,0.963888106,1.617021277,50.243409,7.600773398,2.98,1.617021277,0,0.705517559,1.908935,-0.461765152,Stable_Cubic,Ca,0,0
CsFeCl3,3.42825,3.42825,7.99925,,1.81,0.8525,0.78,0.79,1.83,3.16,0.471598338,0.15323635,3.61272528,1.121841693,1.092948718,94.01436983,5.212405829,1.33,1.092948718,0.435142635,0.355233386,1.6203225,0.020427333,Unstable_Hexagonal,Fe,1,6
CsFeBr3,3.6435,3.6435,8.5015,,1.81,0.8525,0.8825,0.79,1.83,2.96,0.471598338,0.15323635,3.3635883,1.097340062,0.966005666,112.8581968,6.304185786,1.13,0.966005666,0.435142635,0.319608769,1.679465,0.092853418,Unstable_Hexagonal,Fe,1,6
CsFeI3,4.46425,4.46425,10.41658333,,1.81,0.8525,1.273333333,0.79,1.83,2.66,0.471598338,0.15323635,3.059046537,1.02559588,0.669502618,207.5975899,4.555050576,0.83,0.669502618,0.435142635,0.257120528,1.904975833,0.251757937,Unstable_Hexagonal,Fe,1,6
CsFeF3,3.27075,3.27075,7.63175,,1.81,0.8525,0.705,0.79,1.83,3.98,0.471598338,0.15323635,3.401189824,1.141812876,1.209219858,81.6429776,4.99823148,2.15,1.209219858,0.435142635,0.389953145,1.5770475,-0.047656736,Unstable_Hexagonal,Fe,1,6
CsGeCl3,3.255,3.255,7.595,,1.81,0.77,0.78,0.79,2.01,3.16,0.471598338,1.232676413,3.61272528,1.181552621,0.987179487,80.46921487,6.436372212,1.15,0.987179487,0.435142635,0.406542531,1.53672,0.137421806,Unstable_Hexagonal,Ge,1,7
CsGeBr3,3.47025,3.47025,8.09725,,1.81,0.77,0.8825,0.79,2.01,2.96,0.471598338,1.232676413,3.3635883,1.15212406,0.872521246,97.51222676,7.58230874,0.95,0.872521246,0.435142635,0.362904078,1.5958625,0.197679189,Unstable_Hexagonal,Ge,1,7
