formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
CsPbI3,9.492484273,9.492484273,13.6278,,1.81,1.19,2.2,0.79,2.33,2.66,0.47,0.36,3.06,0.836430145,0.540909091,1227.963686,0.974717124,0.33,0.540909091,0.179323003,0.134942046,2.5344,0.208933385,Metastable,Pb,1,5
CsPbBr3,8.820449989,8.820449989,12.663,,1.81,1.19,1.96,0.79,2.33,2.96,0.47,0.36,3.36,0.846283354,0.607142857,985.1856801,0.977258512,0.63,0.607142857,0.179323003,0.128418593,2.39592,0.169072331,Metastable,Pb,1,5
CsPbCl3,8.40042856,8.40042856,12.06,,1.81,1.19,1.81,0.79,2.33,3.16,0.47,0.36,3.61,0.853242183,0.657458564,851.040432,0.870815268,0.83,0.657458564,0.179323003,0.125038174,2.30937,0.138419019,Metastable,Pb,1,5
CsPbF3,7.056359991,7.056359991,10.1304,,1.81,1.19,1.33,0.79,2.33,3.98,0.47,0.36,3.4,0.881077497,0.894736842,504.4150682,1.306270002,1.65,0.894736842,0.179323003,0.121846731,2.03241,-0.009657157,Metastable,Pb,1,5
CsSnI3,9.240471417,9.240471417,13.266,,1.81,1.1,2.2,0.79,1.96,2.66,0.47,1.11,3.06,0.859241877,0.5,1132.734815,0.926924315,0.7,0.5,0.179323003,0.144976947,2.55647,0.253984007,Metastable,Sn,1,6
CsSnBr3,8.568437132,8.568437132,12.3012,,1.81,1.1,1.96,0.79,1.96,2.96,0.47,1.11,3.36,0.871174041,0.56122449,903.1309148,0.903327844,1,0.56122449,0.179323003,0.138443562,2.41799,0.219134333,Metastable,Sn,1,6
CsSnCl3,8.148415704,8.148415704,11.6982,,1.81,1.1,1.81,0.79,1.96,3.16,0.47,1.11,3.61,0.879631116,0.607734807,776.7216242,0.764934558,1.2,0.607734807,0.179323003,0.135092214,2.33144,0.192230691,Metastable,Sn,1,6
CsSnF3,4.86,4.86,4.86,,1.81,1.1,1.33,0.79,1.96,3.98,0.47,1.11,3.4,0.913709997,0.827067669,114.791256,4.459786397,2.02,0.827067669,0,0.522494756,2.05448,0.061256126,Stable_Cubic,Sn,1,6
CsGeI3,5.86,5.86,5.86,,1.81,0.73,2.2,0.79,2.01,2.66,0.47,1.23,3.06,0.967746823,0.331818182,201.230056,4.83729204,0.65,0.331818182,0,0.796474787,2.33298,0.44960155,Stable_Cubic,Ge,1,2
CsGeBr3,5.38,5.38,5.38,,1.81,0.73,1.96,0.79,2.01,2.96,0.47,1.23,3.36,0.991000954,0.37244898,155.720872,4.747420166,0.95,0.37244898,0,0.777589349,2.1945,0.437316246,Stable_Cubic,Ge,1,2
CsGeCl3,5.08,5.08,5.08,,1.81,0.73,1.81,0.79,2.01,3.16,0.47,1.23,3.61,1.007766357,0.403314917,131.096512,3.948162389,1.15,0.403314917,0,0.770297189,2.10795,0.427347168,Stable_Cubic,Ge,1,2
CsGeF3,4.326,4.326,10.094,,1.81,0.73,1.33,0.79,2.01,3.98,0.47,1.23,3.4,1.077822958,0.54887218,188.9019019,2.304866089,1.97,0.54887218,0.435142635,0.296619883,1.83099,0.3739682,Unstable_Hexagonal,Ge,1,2
CsZnI3,5.88,5.88,5.88,,1.81,0.74,2.2,0.79,1.65,2.66,0.47,-0.6,3.06,0.964455168,0.336363636,203.297472,4.728472994,1.01,0.336363636,1.51E-16,0.788709038,2.41075,0.444060713,Stable_Cubic,Zn,1,8
CsZnBr3,5.4,5.4,5.4,,1.81,0.74,1.96,0.79,1.65,2.96,0.47,-0.6,3.36,0.98733058,0.37755102,157.464,4.617883872,1.31,0.37755102,1.64E-16,0.76941256,2.27227,0.431114148,Stable_Cubic,Zn,1,8
