formula,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
CsPbI3,1.88,1.19,2.2,0.79,2.33,2.66,0.47,0.36,3.05,0.8510311702776147,0.5409090909090909,6.78,6.78,6.78,311.66575200000005,3.8405283057138155
CsPbBr3,1.88,1.19,1.96,0.79,2.33,2.96,0.47,0.36,3.36,0.8619968380178864,0.6071428571428571,6.3,6.3,6.3,250.04699999999997,3.8505547406772025
CsPbCl3,1.88,1.19,1.81,0.79,2.33,3.16,0.47,0.36,3.61,0.8697413408594533,0.6574585635359116,6.0,6.0,6.0,216.0,3.4323222259123956
CsPbO3,1.88,1.19,1.4,0.79,2.33,3.44,0.47,0.36,1.46,0.8954865800354732,0.85,5.18,5.18,5.18,138.991832,4.636868743731211
CsPbF3,1.88,1.19,1.33,0.79,2.33,3.98,0.47,0.36,3.4,0.9007193522257212,0.894736842105263,5.04,5.04,5.04,128.024064,5.150455659868991
CsSnI3,1.88,1.1,2.2,0.79,1.96,2.66,0.47,1.11,3.05,0.8742411112851859,0.5,6.6000000000000005,6.6000000000000005,6.6000000000000005,287.4960000000001,3.6522247266048913
CsSnBr3,1.88,1.1,1.96,0.79,1.96,2.96,0.47,1.11,3.36,0.8873496861948832,0.5612244897959184,6.12,6.12,6.12,229.22092800000001,3.5592671484365086
CsSnCl3,1.88,1.1,1.81,0.79,1.96,3.16,0.47,1.11,3.61,0.8966405575870653,0.6077348066298343,5.82,5.82,5.82,197.13736800000004,3.015260193184152
CsSnO3,1.88,1.1,1.4,0.79,1.96,3.44,0.47,1.11,1.46,0.9277240969167503,0.7857142857142858,5.0,5.0,5.0,125.0,3.9802059116572575
CsSnF3,1.88,1.1,1.33,0.79,1.96,3.98,0.47,1.11,3.4,0.9340793282340811,0.8270676691729324,4.86,4.86,4.86,114.79125600000002,4.463938634408248
CsGeI3,1.88,0.73,2.2,0.79,2.01,2.66,0.47,1.16,3.05,0.9846401594679568,0.3318181818181818,5.86,5.86,5.86,201.23005600000002,4.837732475796767
CsGeBr3,1.88,0.73,1.96,0.79,2.01,2.96,0.47,1.16,3.36,1.009401501768157,0.37244897959183676,5.38,5.38,5.38,155.72087199999999,4.7479550190428705
CsGeCl3,1.88,0.73,1.81,0.79,2.01,3.16,0.47,1.16,3.61,1.0272535521962047,0.4033149171270718,5.08,5.08,5.08,131.09651200000002,3.950659155119987
CsGeO3,1.88,0.73,1.4,0.79,2.01,3.44,0.47,1.16,1.46,1.0888780480243547,0.5214285714285715,4.26,4.26,4.26,77.308776,5.4459912284054175
CsGeF3,1.88,0.73,1.33,0.79,2.01,3.98,0.47,1.16,3.4,1.1018508580625328,0.5488721804511277,4.12,4.12,4.12,69.934528,6.233234312645247
CsTiI3,1.88,0.605,2.2,0.79,1.54,2.66,0.47,0.08,3.05,1.0285189544531599,0.27499999999999997,5.61,5.61,5.61,176.55848100000003,5.28086367418114
CsTiBr3,1.88,0.605,1.96,0.79,1.54,2.96,0.47,0.08,3.36,1.0585926080921413,0.3086734693877551,5.13,5.13,5.13,135.005697,5.1719283182992735
CsTiCl3,1.88,0.605,1.81,0.79,1.54,3.16,0.47,0.08,3.61,1.0804240259123645,0.3342541436464088,4.83,4.83,4.83,112.67858700000001,4.231520288774977
CsTiO3,1.88,0.605,1.4,0.79,1.54,3.44,0.47,0.08,1.46,1.1567632131131549,0.43214285714285716,4.01,4.01,4.01,64.48120099999998,5.891748319617347
CsTiF3,1.88,0.605,1.33,0.79,1.54,3.98,0.47,0.08,3.4,1.1730298540614041,0.45488721804511273,3.87,3.87,3.87,57.960603000000006,6.8115645938353815
CsMgI3,1.88,0.72,2.2,0.79,1.31,2.66,0.47,-0.42,3.05,0.9880122148086007,0.3272727272727272,5.84,5.84,5.84,199.17670399999997,4.48475165952502
CsMgBr3,1.88,0.72,1.96,0.79,1.31,2.96,0.47,-0.42,3.36,1.0131679252822174,0.3673469387755102,5.359999999999999,5.359999999999999,5.359999999999999,153.99065599999994,4.280237448740096
CsMgCl3,1.88,0.72,1.81,0.79,1.31,3.16,0.47,-0.42,3.61,1.0313138429163478,0.39779005524861877,5.0600000000000005,5.0600000000000005,5.0600000000000005,129.55421600000003,3.3783424857606987
CsMgO3,1.88,0.72,1.4,0.79,1.31,3.44,0.47,-0.42,1.46,1.0940142652320166,0.5142857142857143,4.24,4.24,4.24,76.225024,4.47076005853249
CsMgF3,1.88,0.72,1.33,0.79,1.31,3.98,0.47,-0.42,3.4,1.107225740296984,0.5413533834586466,4.1,4.1,4.1,68.92099999999998,5.160679275596278
CsCaI3,1.88,1.0,2.2,0.79,1.0,2.66,0.47,0.02,3.05,0.901561146012848,0.45454545454545453,6.4,6.4,6.4,262.14400000000006,3.507405727339598
CsCaBr3,1.88,1.0,1.96,0.79,1.0,2.96,0.47,0.02,3.36,0.9173277161338994,0.5102040816326531,5.92,5.92,5.92,207.474688,3.303072255986436
CsCaCl3,1.88,1.0,1.81,0.79,1.0,3.16,0.47,0.02,3.61,0.9285494742271745,0.5524861878453039,5.62,5.62,5.62,177.50432800000002,2.613264873784976
CsCaO3,1.88,1.0,1.4,0.79,1.0,3.44,0.47,0.02,1.46,0.9663792676216149,0.7142857142857143,4.8,4.8,4.8,110.59199999999998,3.3182427837896857
CsCaF3,1.88,1.0,1.33,0.79,1.0,3.98,0.47,0.02,3.4,0.974168569789192,0.7518796992481203,4.66,4.66,4.66,101.19469600000001,3.773582061438866
CsSrI3,1.88,1.18,2.2,0.79,0.95,2.66,0.47,0.05,3.05,0.8535490139766609,0.5363636363636363,6.76,6.76,6.76,308.915776,3.2319140588512076
CsSrBr3,1.88,1.18,1.96,0.79,0.95,2.96,0.47,0.05,3.36,0.8647420508778161,0.6020408163265306,6.279999999999999,6.279999999999999,6.279999999999999,247.67315199999993,3.0857109543300876
CsSrCl3,1.88,1.18,1.81,0.79,0.95,3.16,0.47,0.05,3.61,0.8726501747753712,0.6519337016574586,5.98,5.98,5.98,213.84719200000004,2.5383064079458455
CsSrO3,1.88,1.18,1.4,0.79,0.95,3.44,0.47,0.05,1.46,0.8989574582526649,0.8428571428571429,5.16,5.16,5.16,137.38809600000002,3.2456594959470686
CsSrF3,1.88,1.18,1.33,0.79,0.95,3.98,0.47,0.05,3.4,0.9043078755413616,0.8872180451127819,5.02,5.02,5.02,126.50600799999997,3.64259665838146
CsZnI3,1.88,0.74,2.2,0.79,1.65,2.66,0.47,-0.42,3.05,0.9812910432792902,0.3363636363636363,5.880000000000001,5.880000000000001,5.880000000000001,203.29747200000008,4.729316001428724
CsZnBr3,1.88,0.74,1.96,0.79,1.65,2.96,0.47,-0.42,3.36,1.005662977687534,0.37755102040816324,5.4,5.4,5.4,157.46400000000003,4.618938336026889
CsZnCl3,1.88,0.74,1.81,0.79,1.65,3.16,0.47,-0.42,3.61,1.0232251068934746,0.4088397790055249,5.1,5.1,5.1,132.65099999999998,3.813604463585675
CsZnO3,1.88,0.74,1.4,0.79,1.65,3.44,0.47,-0.42,1.46,1.083789832846671,0.5285714285714286,4.279999999999999,4.279999999999999,4.279999999999999,78.40275199999996,5.216446054556419
CsZnF3,1.88,0.74,1.33,0.79,1.65,3.98,0.47,-0.42,3.4,1.0965279070573994,0.556390977443609,4.140000000000001,4.140000000000001,4.140000000000001,70.95794400000003,5.973666738853871
CsCdI3,1.88,0.95,2.2,0.79,1.69,2.66,0.47,-0.42,3.05,0.9158716403940043,0.43181818181818177,6.300000000000001,6.300000000000001,6.300000000000001,250.04700000000008,4.157438262118179
CsCdBr3,1.88,0.95,1.96,0.79,1.69,2.96,0.47,-0.42,3.36,0.933089360741011,0.4846938775510204,5.82,5.82,5.82,197.13736800000004,4.08554447116487
