formula,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
CsPbI3,1.81,1.1225,1.2733333333333334,0.79,2.33,2.66,0.471598338,0.3567212,3.059046537,0.9100156836139914,0.881544502617801,4.791666666666667,4.791666666666667,4.791666666666667,110.01699942129632,10.879917327767119
CsPbBr3,1.81,1.1225,0.8825000000000001,0.79,2.33,2.96,0.471598338,0.3567212,3.3635883,0.9495685827156005,1.271954674220963,4.01,4.01,4.01,64.48120099999998,14.931980496182517
CsPbCl3,1.81,1.1225,0.7799999999999999,0.79,2.33,3.16,0.471598338,0.3567212,3.61272528,0.9626315707086245,1.4391025641025643,3.8049999999999997,3.8049999999999997,3.8049999999999997,55.08888512499999,13.458050418727664
CsPbF3,1.81,1.1225,0.705,0.79,2.33,3.98,0.471598338,0.3567212,3.401189824,0.9731182241773828,1.592198581560284,3.6550000000000002,3.6550000000000002,3.6550000000000002,48.82723637500001,13.50509723699512
CsPbO3,1.81,1.1225,1.26,0.79,2.33,3.44,0.471598338,0.3567212,1.461112979,0.9111512353589509,0.8908730158730159,4.765000000000001,4.765000000000001,4.765000000000001,108.19039712500003,5.956871931763806
CsPbS3,1.81,1.1225,0.88,0.79,2.33,2.58,0.471598338,0.3567212,2.07710426,0.949871281593914,1.2755681818181819,4.005,4.005,4.005,64.24030012499999,11.278136598528528
CsSnI3,1.81,0.83,1.2733333333333334,0.79,1.96,2.66,0.471598338,1.1120702,3.059046537,1.0365669930230688,0.6518324607329842,4.206666666666667,4.206666666666667,4.206666666666667,74.44136029629631,14.10548272458393
CsSnBr3,1.81,0.83,0.8825000000000001,0.79,1.96,2.96,0.471598338,1.1120702,3.3635883,1.1117576691064404,0.9405099150141641,3.425,3.425,3.425,40.177390624999994,20.3071301125259
CsSnCl3,1.81,0.83,0.7799999999999999,0.79,1.96,3.16,0.471598338,1.1120702,3.61272528,1.1375196045174893,1.064102564102564,3.2199999999999998,3.2199999999999998,3.2199999999999998,33.386247999999995,17.805069225657675
CsSnF3,1.81,0.83,0.705,0.79,1.96,3.98,0.471598338,1.1120702,3.401189824,1.1585495470255158,1.177304964539007,3.07,3.07,3.07,28.934442999999995,17.71148794394795
CsSnO3,1.81,0.83,1.26,0.79,1.96,3.44,0.471598338,1.1120702,1.461112979,1.0386688125563164,0.6587301587301587,4.18,4.18,4.18,73.03463199999999,6.812272337067724
CsSnS3,1.81,0.83,0.88,0.79,1.96,2.58,0.471598338,1.1120702,2.07710426,1.1123492639718202,0.9431818181818181,3.42,3.42,3.42,40.001687999999994,14.438549274256829
CsGeI3,1.81,0.77,1.2733333333333334,0.79,2.01,2.66,0.471598338,1.232676413,3.059046537,1.067004522997645,0.6047120418848168,4.086666666666667,4.086666666666667,4.086666666666667,68.2507842962963,14.263989911752082
CsGeBr3,1.81,0.77,0.8825000000000001,0.79,2.01,2.96,0.471598338,1.232676413,3.3635883,1.1521240595127256,0.8725212464589235,3.305,3.305,3.305,36.100597625000006,20.481230912067353
CsGeCl3,1.81,0.77,0.7799999999999999,0.79,2.01,3.16,0.471598338,1.232676413,3.61272528,1.1815526214665535,0.9871794871794873,3.0999999999999996,3.0999999999999996,3.0999999999999996,29.79099999999999,17.38584249748506
CsGeF3,1.81,0.77,0.705,0.79,2.01,3.98,0.471598338,1.232676413,3.401189824,1.2056769862265537,1.0921985815602837,2.95,2.95,2.95,25.672375000000006,16.982036737035475
CsGeO3,1.81,0.77,1.26,0.79,2.01,3.44,0.471598338,1.232676413,1.461112979,1.0693683833707885,0.6111111111111112,4.0600000000000005,4.0600000000000005,4.0600000000000005,66.92341600000003,6.291205760314491
CsGeS3,1.81,0.77,0.88,0.79,2.01,2.58,0.471598338,1.232676413,2.07710426,1.1527983281162502,0.875,3.3,3.3,3.3,35.937,13.942831072684147
CsTiI3,1.81,0.8516666666666667,1.2733333333333334,0.79,1.54,2.66,0.471598338,0.075545,3.059046537,1.0259980746628337,0.668848167539267,4.25,4.25,4.25,76.765625,12.145944266368998
CsTiBr3,1.81,0.8516666666666667,0.8825000000000001,0.79,1.54,2.96,0.471598338,0.075545,3.3635883,1.0978673762680127,0.9650613786591123,3.4683333333333337,3.4683333333333337,3.4683333333333337,41.721747412037054,16.735808624622713
