formula,rA,rB,rX,chi_A,chi_B,chi_X,tolerance_factor,octahedral_factor,volume,density
CsLiI3,1.81,0.9,1.2733333333333334,0.79,0.98,2.66,1.0033321474128134,0.706806282722513,82.12379496296296,10.52594065886539
CsLiBr3,1.81,0.9,0.8825000000000001,0.79,0.98,2.96,1.0682595007647429,1.019830028328612,45.30838712500002,13.911030822435041
CsLiCl3,1.81,0.9,0.7799999999999999,0.79,0.98,3.16,1.0902876001885904,1.153846153846154,37.93305599999999,10.778022409584297
CsLiF3,1.81,0.9,0.705,0.79,0.98,3.98,1.1081882554076505,1.2765957446808511,33.076161,9.882371450737281
CsLiO3,1.81,0.9,1.26,0.79,0.98,3.44,1.0051600398135052,0.7142857142857143,80.62156800000001,3.8690722813597715
CsLiS3,1.81,0.9,0.88,0.79,0.98,2.58,1.068766587734215,1.0227272727272727,45.118016000000004,8.68755430310785
CsLiSe3,1.81,0.9,1.0133333333333334,0.79,0.98,2.55,1.0435712560803116,0.888157894736842,56.03532562962965,11.164093475359827
CsBeI3,1.81,0.59,1.2733333333333334,0.79,1.57,2.66,1.170255027036054,0.4633507853403141,51.756112296296294,16.76844556077717
CsBeBr3,1.81,0.59,0.8825000000000001,0.79,1.57,2.96,1.2931562377678467,0.668555240793201,25.542058625000006,24.811067037774126
CsBeCl3,1.81,0.59,0.7799999999999999,0.79,1.57,3.16,1.3369950133699502,0.7564102564102565,20.570823999999995,20.042108505179662
CsBeF3,1.81,0.59,0.705,0.79,1.57,3.98,1.3734688416442309,0.8368794326241135,17.373979,19.01178009846379
CsBeO3,1.81,0.59,1.26,0.79,1.57,3.44,1.1735922627011737,0.4682539682539682,50.653000000000006,6.226087952253565
CsBeS3,1.81,0.59,0.88,0.79,1.57,2.58,1.2941527388890495,0.6704545454545454,25.412184,15.559645446665536
CsBeSe3,1.81,0.59,1.0133333333333334,0.79,1.57,2.55,1.2453428295012452,0.582236842105263,32.973226962962976,19.07677926018271
CsBI3,1.81,0.41,1.2733333333333334,0.79,2.04,2.66,1.2953912081448598,0.3219895287958115,38.1592962962963,22.82161133420503
CsBBr3,1.81,0.41,0.8825000000000001,0.79,2.04,2.96,1.4732476287142393,0.4645892351274787,17.273551625,36.860561165026844
CsBCl3,1.81,0.41,0.7799999999999999,0.79,2.04,3.16,1.5392295532074216,0.5256410256410257,13.481271999999999,30.803455640675686
CsBF3,1.81,0.41,0.705,0.79,2.04,3.98,1.5951947532998016,0.5815602836879432,11.089567,30.055036915891943
CsBO3,1.81,0.41,1.26,0.79,2.04,3.44,1.3000872371240548,0.32539682539682535,37.25970399999999,8.544273739491574
CsBS3,1.81,0.41,0.88,0.79,2.04,2.58,1.474732190827056,0.4659090909090909,17.173512000000002,23.198030225172115
CsBSe3,1.81,0.41,1.0133333333333334,0.79,2.04,2.55,1.4028334917800913,0.4046052631578947,23.067994962962963,27.397701909767555
