material_id,formula,bandgap,elements,num_elements
mp-1183115,AcAlO3,4.1024,"[Element Ac, Element Al, Element O]",3
mp-1183052,AcBO3,0.8071,"[Element Ac, Element B, Element O]",3
mp-30274,AcBrO,4.241,"[Element Ac, Element Br, Element O]",3
mp-30273,AcClO,4.4451,"[Element Ac, Element Cl, Element O]",3
mp-866101,AcCrO3,2.0031,"[Element Ac, Element Cr, Element O]",3
mp-861502,AcFeO3,0.9887999999999991,"[Element Ac, Element Fe, Element O]",3
mp-1183053,AcGaO3,2.895900000000001,"[Element Ac, Element Ga, Element O]",3
mp-861884,AcGaTe2,0.49099999999999905,"[Element Ac, Element Ga, Element Te]",3
mp-861460,AcInTe2,0.3799,"[Element Ac, Element In, Element Te]",3
mp-36526,AcOF,4.256600000000001,"[Element Ac, Element F, Element O]",3
mp-1183152,AcScO3,3.3847,"[Element Ac, Element O, Element Sc]",3
mp-865028,AcTlTe2,0.6253000000000001,"[Element Ac, Element Te, Element Tl]",3
mp-18125,Ag(AuF4)2,0.258499999999999,"[Element Ag, Element Au, Element F]",3
mp-567334,Ag(BCl)6,2.7028,"[Element Ag, Element B, Element Cl]",3
mp-600237,Ag(CO)2,0.737499999999999,"[Element Ag, Element C, Element O]",3
mp-654937,Ag(CO)2,0.7248000000000001,"[Element Ag, Element C, Element O]",3
mp-732005,Ag(NO2)3,0.16560000000000002,"[Element Ag, Element N, Element O]",3
mp-568386,Ag10Te4Br3,0.9637000000000001,"[Element Ag, Element Br, Element Te]",3
mp-568392,Ag10Te4Br3,0.8722000000000001,"[Element Ag, Element Br, Element Te]",3
mp-1215080,Ag12SBr,0.394499999999999,"[Element Ag, Element Br, Element S]",3
mp-1215073,Ag12SI,0.40240000000000004,"[Element Ag, Element I, Element S]",3
mp-1245378,Ag15W7N19,0.9837,"[Element Ag, Element N, Element W]",3
mp-1205258,Ag2(MoO4)3,0.9809,"[Element Ag, Element Mo, Element O]",3
mp-1197575,Ag2AsS2,0.533399999999999,"[Element Ag, Element As, Element S]",3
mp-1247866,Ag2B8O13,2.9324,"[Element Ag, Element B, Element O]",3
mp-554873,Ag2B8O13,3.4397,"[Element Ag, Element B, Element O]",3
mp-759792,Ag2B8O13,2.858,"[Element Ag, Element B, Element O]",3
mp-851575,Ag2B8O13,0.414099999999999,"[Element Ag, Element B, Element O]",3
mp-23558,Ag2BiO3,0.38720000000000004,"[Element Ag, Element Bi, Element O]",3
mp-561113,Ag2BiO3,0.5053000000000001,"[Element Ag, Element Bi, Element O]",3
mp-574486,Ag2CN2,1.0037,"[Element Ag, Element C, Element N]",3
mp-1178578,Ag2CO3,0.449999999999999,"[Element Ag, Element C, Element O]",3
mp-4691,Ag2CO3,0.4736,"[Element Ag, Element C, Element O]",3
mp-560717,Ag2CO3,0.7489999999999991,"[Element Ag, Element C, Element O]",3
mp-676581,Ag2CO3,0.746,"[Element Ag, Element C, Element O]",3
mp-554988,Ag2Ge2O5,1.0401,"[Element Ag, Element Ge, Element O]",3
mp-983589,Ag2GeO3,0.2116,"[Element Ag, Element Ge, Element O]",3
mp-9900,Ag2GeS3,0.4646,"[Element Ag, Element Ge, Element S]",3
mp-778019,Ag2H16O9,2.5301,"[Element Ag, Element H, Element O]",3
mp-1229122,Ag2HgI4,1.276399999999999,"[Element Ag, Element Hg, Element I]",3
mp-23485,Ag2HgI4,1.2219,"[Element Ag, Element Hg, Element I]",3
mp-570256,Ag2HgI4,1.100399999999999,"[Element Ag, Element Hg, Element I]",3
mp-29816,Ag2HgO2,0.41029999999999905,"[Element Ag, Element Hg, Element O]",3
mp-9635,Ag2HgS2,0.41909999999999903,"[Element Ag, Element Hg, Element S]",3
mp-27966,Ag2Mo2O7,1.9011,"[Element Ag, Element Mo, Element O]",3
mp-560276,Ag2Mo2O7,2.0118,"[Element Ag, Element Mo, Element O]",3
mp-19318,Ag2MoO4,1.873099999999999,"[Element Ag, Element Mo, Element O]",3
mp-558469,Ag2PS3,1.9254,"[Element Ag, Element P, Element S]",3
mp-561822,Ag2PS3,1.440099999999999,"[Element Ag, Element P, Element S]",3
mp-13956,Ag2PSe3,1.186599999999999,"[Element Ag, Element P, Element Se]",3
mp-1229102,Ag2PbI4,0.9013999999999991,"[Element Ag, Element I, Element Pb]",3
mp-20210,Ag2PbO2,1.3818000000000001,"[Element Ag, Element O, Element Pb]",3
mp-28557,Ag2PdCl4,0.9506000000000001,"[Element Ag, Element Cl, Element Pd]",3
mp-1192057,Ag2S2O7,2.301599999999999,"[Element Ag, Element O, Element S]",3
mp-30982,Ag2SO3,2.3467000000000002,"[Element Ag, Element O, Element S]",3
mp-5625,Ag2SO4,1.2289,"[Element Ag, Element O, Element S]",3
mp-660503,Ag2SO4,1.321,"[Element Ag, Element O, Element S]",3
mp-1215036,Ag2SeO2,0.15400000000000003,"[Element Ag, Element O, Element Se]",3
mp-16913,Ag2SeO3,1.7022,"[Element Ag, Element O, Element Se]",3
mp-2748718,Ag2SeO3,2.093499999999999,"[Element Ag, Element O, Element Se]",3
mp-11641,Ag2SeO4,0.42639999999999906,"[Element Ag, Element O, Element Se]",3
mp-663172,Ag2SeO4,0.48150000000000004,"[Element Ag, Element O, Element Se]",3
mp-680202,Ag2SnO3,0.1452,"[Element Ag, Element O, Element Sn]",3
mp-561380,Ag2Te4O11,1.1402,"[Element Ag, Element O, Element Te]",3
mp-18068,Ag2TeO3,1.627299999999999,"[Element Ag, Element O, Element Te]",3
mp-1183014,Ag2TeO6,0.28080000000000005,"[Element Ag, Element O, Element Te]",3
mp-29163,Ag2TeS3,1.2999,"[Element Ag, Element S, Element Te]",3
mp-32537,Ag2W2O7,1.9614,"[Element Ag, Element O, Element W]",3
mp-504466,Ag2WO4,2.0439,"[Element Ag, Element O, Element W]",3
mp-637188,Ag2WO4,1.7809,"[Element Ag, Element O, Element W]",3
mp-990091,Ag2WS4,1.098999999999999,"[Element Ag, Element S, Element W]",3
mp-2749579,Ag3AsF12,0.153999999999999,"[Element Ag, Element As, Element F]",3
mp-4431,Ag3AsS3,1.177099999999999,"[Element Ag, Element As, Element S]",3
mp-555843,Ag3AsS3,1.6989,"[Element Ag, Element As, Element S]",3
mp-561620,Ag3AsS3,1.627799999999999,"[Element Ag, Element As, Element S]",3
