formula,A_site,B_site,X_site,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,bond_len_BX,inv_bond_sq,stability_index,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site_encoded,Predicted_BG
CsSnI3,Cs,Sn,I,1.88,1.1,2.2,0.79,1.96,2.66,0.47,1.11,3.05,0.8742411112851859,0.5,287.4960000000001,3.6521669665706256,0.7000000000000002,0.5,3.3000000000000003,0.0918273645546372,0.4371205556425929,0.0,0.6,0.0,0.0,1,0,1.5072504691164128
CsSnBr3,Cs,Sn,Br,1.88,1.1,1.96,0.79,1.96,2.96,0.47,1.11,3.36,0.8873496861948832,0.5612244897959184,229.220928,3.5591947040093967,1.0,0.5612244897959184,3.06,0.106796531248665,0.4980023749052916,0.0,0.6,0.0,0.0,1,0,1.4238537623641667
CsSnCl3,Cs,Sn,Cl,1.88,1.1,1.81,0.79,1.96,3.16,0.47,1.11,3.61,0.8966405575870653,0.6077348066298343,197.13736800000004,3.013912440276258,1.2000000000000002,0.6077348066298343,2.91,0.1180902445648964,0.5449196758816419,0.0,0.6,0.0,0.0,1,0,1.3620370778015403
CsGeCl3,Cs,Ge,Cl,1.88,0.73,1.81,0.79,2.01,3.16,0.47,1.23,3.61,1.0272535521962047,0.4033149171270718,131.09651200000002,3.948252456477925,1.1500000000000004,0.4033149171270718,2.54,0.15500031000062,0.4143066812725024,0.0,0.6,0.0,0.0,1,0,1.3775203704517724
CsZnCl3,Cs,Zn,Cl,1.88,0.74,1.81,0.79,1.65,3.16,0.47,0.0,3.61,1.0232251068934746,0.4088397790055249,132.65099999999998,3.810600048304489,1.5100000000000002,0.4088397790055249,2.55,0.1537870049980776,0.4183351265752327,0.0,0.6,0.0,0.0,1,0,1.3142466276014013
CsSrI3,Cs,Sr,I,1.88,1.18,2.2,0.79,0.95,2.66,0.47,0.05,3.05,0.8535490139766609,0.5363636363636363,308.915776,3.23175279374174,1.7100000000000002,0.5363636363636363,3.38,0.0875319491614439,0.457812652951118,0.0,0.6,0.0,0.0,1,0,1.313722804385449
CsSrBr3,Cs,Sr,Br,1.88,1.18,1.96,0.79,0.95,2.96,0.47,0.05,3.36,0.8647420508778161,0.6020408163265306,247.67315199999996,3.0855098128820515,2.01,0.6020408163265306,3.14,0.1014239928597509,0.5206100102223586,0.0,0.6,0.0,0.0,1,0,1.532393700855435
CsSrCl3,Cs,Sr,Cl,1.88,1.18,1.81,0.79,0.95,3.16,0.47,0.05,3.61,0.8726501747753712,0.6519337016574586,213.84719200000004,2.536908662126492,2.21,0.6519337016574586,2.99,0.1118555720853234,0.5689100586933359,0.0,0.6,0.0,0.0,1,0,1.5118712828242151
CsCaI3,Cs,Ca,I,1.88,1.0,2.2,0.79,1.0,2.66,0.47,0.02,3.05,0.901561146012848,0.4545454545454545,262.14400000000006,3.506835613168382,1.66,0.4545454545454545,3.2,0.0976562499999999,0.4098005209149309,0.0,0.6,0.0,0.0,1,0,1.3293320797098092
CsCaBr3,Cs,Ca,Br,1.88,1.0,1.96,0.79,1.0,2.96,0.47,0.02,3.36,0.9173277161338994,0.5102040816326531,207.474688,3.302351917468326,1.96,0.5102040816326531,2.96,0.1141344046749452,0.4680243449662752,0.0,0.6,0.0,0.0,1,0,1.589379348328214
CsCaCl3,Cs,Ca,Cl,1.88,1.0,1.81,0.79,1.0,3.16,0.47,0.02,3.61,0.9285494742271744,0.5524861878453039,177.50432800000002,2.611019640128112,2.16,0.5524861878453039,2.81,0.1266447993313154,0.5130107592415329,0.0,0.6,0.0,0.0,1,0,1.4710345120465096
RbSnI3,Rb,Sn,I,1.72,1.1,2.2,0.82,1.96,2.66,0.48,1.11,3.05,0.8399571461367472,0.5,287.4960000000001,3.3778068038122764,0.7000000000000002,0.5,3.3000000000000003,0.0918273645546372,0.4199785730683736,0.0,0.6,0.0,0.0,1,0,1.5072504691164128
RbSnBr3,Rb,Sn,Br,1.72,1.1,1.96,0.82,1.96,2.96,0.48,1.11,3.36,0.8503767826034296,0.5612244897959184,229.220928,3.2150836752277026,1.0,0.5612244897959184,3.06,0.106796531248665,0.4772522759509044,0.0,0.6,0.0,0.0,1,0,1.4238537623641667
RbSnCl3,Rb,Sn,Cl,1.72,1.1,1.81,0.82,1.96,3.16,0.48,1.11,3.61,0.8577618342228566,0.6077348066298343,197.13736800000004,2.6137982957454526,1.2000000000000002,0.6077348066298343,2.91,0.1180902445648964,0.5212917224558797,0.0,0.6,0.0,0.0,1,0,1.2111993002894723
RbGeCl3,Rb,Ge,Cl,1.72,0.73,1.81,0.82,2.01,3.16,0.48,1.23,3.61,0.982711392751383,0.4033149171270718,131.09651200000002,3.3465777959623604,1.1500000000000004,0.4033149171270718,2.54,0.15500031000062,0.3963421639273533,0.0,0.6,0.0,0.0,1,0,1.3775203704517724
RbZnCl3,Rb,Zn,Cl,1.72,0.74,1.81,0.82,1.65,3.16,0.48,0.0,3.61,0.9788576225837304,0.4088397790055249,132.65099999999998,3.2159761905697213,1.5100000000000002,0.4088397790055249,2.55,0.1537870049980776,0.4001959340950058,0.0,0.6,0.0,0.0,1,0,1.3142466276014013
RbSrI3,Rb,Sr,I,1.72,1.18,2.2,0.82,0.95,2.66,0.48,0.05,3.05,0.8200765036246349,0.5363636363636363,308.915776,2.976416370417168,1.7100000000000002,0.5363636363636363,3.38,0.0875319491614439,0.4398592155804859,0.0,0.6,0.0,0.0,1,0,1.313722804385449
RbSrBr3,Rb,Sr,Br,1.72,1.18,1.96,0.82,0.95,2.96,0.48,0.05,3.36,0.8287111320912405,0.6020408163265306,247.67315199999996,2.767035853490705,2.01,0.6020408163265306,3.14,0.1014239928597509,0.4989179264630937,0.0,0.6,0.0,0.0,1,0,1.566024002994166
RbSrCl3,Rb,Sr,Cl,1.72,1.18,1.81,0.82,0.95,3.16,0.48,0.05,3.61,0.8348116848122115,0.6519337016574586,213.84719200000004,2.1680590709082237,2.21,0.6519337016574586,2.99,0.1118555720853234,0.5442418718665246,0.0,0.6,0.0,0.0,1,0,1.5676719141708457
RbCaI3,Rb,Ca,I,1.72,1.0,2.2,0.82,1.0,2.66,0.48,0.02,3.05,0.8662058069535206,0.4545454545454545,262.14400000000006,3.2059420228044044,1.66,0.4545454545454545,3.2,0.0976562499999999,0.3937299122516002,0.0,0.6,0.0,0.0,1,0,1.3293320797098092
RbCaBr3,Rb,Ca,Br,1.72,1.0,1.96,0.82,1.0,2.96,0.48,0.02,3.36,0.8791057279616535,0.5102040816326531,207.474688,2.9221732551325394,1.96,0.5102040816326531,2.96,0.1141344046749452,0.4485233305926804,0.0,0.6,0.0,0.0,1,0,1.6230096504669451
RbCaCl3,Rb,Ca,Cl,1.72,1.0,1.81,0.82,1.0,3.16,0.48,0.02,3.61,0.888287166401606,0.5524861878453039,177.50432800000002,2.166650478873775,2.16,0.5524861878453039,2.81,0.1266447993313154,0.4907663902771304,0.0,0.6,0.0,0.0,1,0,1.5655655012935492
KSnI3,K,Sn,I,1.64,1.1,2.2,0.82,1.96,2.66,0.5,1.11,3.05,0.8228151635625279,0.5,287.4960000000001,3.110377845165716,0.7000000000000002,0.5,3.3000000000000003,0.0918273645546372,0.4114075817812639,0.0,0.6,0.0,0.0,1,0,1.5072504691164128
KSnBr3,K,Sn,Br,1.64,1.1,1.96,0.82,1.96,2.96,0.5,1.11,3.36,0.8318903308077029,0.5612244897959184,229.220928,2.87966597769944,1.0,0.5612244897959184,3.06,0.106796531248665,0.4668772264737109,0.0,0.6,0.0,0.0,1,0,1.4372027224030564
KSnCl3,K,Sn,Cl,1.64,1.1,1.81,0.82,1.96,3.16,0.5,1.11,3.61,0.8383224725407522,0.6077348066298343,197.13736800000004,2.223792298023846,1.2000000000000002,0.6077348066298343,2.91,0.1180902445648964,0.5094777457429985,0.0,0.6,0.0,0.0,1,0,1.3305389210780867
KGeCl3,K,Ge,Cl,1.64,0.73,1.81,0.82,2.01,3.16,0.5,1.23,3.61,0.960440313028972,0.4033149171270718,131.09651200000002,2.7601033373966626,1.1500000000000004,0.4033149171270718,2.54,0.15500031000062,0.3873599052547787,0.0,0.6,0.0,0.0,1,0,1.390869330490662
KZnCl3,K,Zn,Cl,1.64,0.74,1.81,0.82,1.65,3.16,0.5,0.0,3.61,0.9566738804288584,0.4088397790055249,132.65099999999998,2.6363744092408847,1.5100000000000002,0.4088397790055249,2.55,0.1537870049980776,0.3911263378548924,0.0,0.6,0.0,0.0,1,0,1.1406689558402792
KSrI3,K,Sr,I,1.64,1.18,2.2,0.82,0.95,2.66,0.5,0.05,3.05,0.803340248448622,0.5363636363636363,308.915776,2.727530551471322,1.7100000000000002,0.5363636363636363,3.38,0.0875319491614439,0.4308824968951699,0.0,0.6,0.0,0.0,1,0,1.34735310652418
KSrBr3,K,Sr,Br,1.64,1.18,1.96,0.82,0.95,2.96,0.5,0.05,3.36,0.8106956726979526,0.6020408163265306,247.67315199999996,2.4566075520208246,2.01,0.6020408163265306,3.14,0.1014239928597509,0.4880718845834613,0.0,0.6,0.0,0.0,1,0,1.4867956926694235
KSrCl3,K,Sr,Cl,1.64,1.18,1.81,0.82,0.95,3.16,0.5,0.05,3.61,0.8158924398306316,0.6519337016574586,213.84719200000004,1.808527785152311,2.21,0.6519337016574586,2.99,0.1118555720853234,0.531907778453119,0.0,0.6,0.0,0.0,1,0,1.5262953655664722
KCaI3,K,Ca,I,1.64,1.0,2.2,0.82,1.0,2.66,0.5,0.02,3.05,0.8485281374238568,0.4545454545454545,262.14400000000006,2.9126499547233062,1.66,0.4545454545454545,3.2,0.0976562499999999,0.3856946079199349,0.0,0.6,0.0,0.0,1,0,1.3629623818485401
KCaBr3,K,Ca,Br,1.64,1.0,1.96,0.82,1.0,2.96,0.5,0.02,3.36,0.8599947338755306,0.5102040816326531,207.474688,2.5515991063715515,1.96,0.5102040816326531,2.96,0.1141344046749452,0.438772823405883,0.0,0.6,0.0,0.0,1,0,1.5281036742617413
KCaCl3,K,Ca,Cl,1.64,1.0,1.81,0.82,1.0,3.16,0.5,0.02,3.61,0.8681560124888217,0.5524861878453039,177.50432800000002,1.7335074859037587,2.16,0.5524861878453039,2.81,0.1266447993313154,0.4796442057949291,0.0,0.6,0.0,0.0,1,0,1.4384319665663148
NaGeCl3,Na,Ge,Cl,1.39,0.73,1.81,0.93,2.01,3.16,0.54,1.23,3.61,0.8908431888964378,0.4033149171270718,131.09651200000002,2.55490061107346,1.1500000000000004,0.4033149171270718,2.54,0.15500031000062,0.3592903469029831,0.0,0.6,0.0,0.0,1,0,1.3983573775293467
NaZnCl3,Na,Zn,Cl,1.39,0.74,1.81,0.93,1.65,3.16,0.54,0.0,3.61,0.8873496861948832,0.4088397790055249,132.65099999999998,2.433576377760817,1.5100000000000002,0.4088397790055249,2.55,0.1537870049980776,0.3627838496045379,0.0,0.6,0.0,0.0,1,0,1.3019618026098205
NaCaBr3,Na,Ca,Br,1.39,1.0,1.96,0.93,1.0,2.96,0.54,0.02,3.36,0.8002728773563965,0.5102040816326531,207.474688,2.421938173111768,1.96,0.5102040816326531,2.96,0.1141344046749452,0.408302488447141,0.0,0.6,0.0,0.0,1,0,1.5144998215629855
NaCaCl3,Na,Ca,Cl,1.39,1.0,1.81,0.93,1.0,3.16,0.54,0.02,3.61,0.8052461565113709,0.5524861878453039,177.50432800000002,1.5819542140654377,2.16,0.5524861878453039,2.81,0.1266447993313154,0.4448873792880502,0.0,0.6,0.0,0.0,1,0,1.402424230055198
MASnI3,MA,Sn,I,2.17,1.1,2.2,2.55,1.96,2.66,0.1,1.11,3.05,0.936380798116731,0.5,287.4960000000001,3.0693682208376263,0.7000000000000002,0.5,3.3000000000000003,0.0918273645546372,0.4681903990583655,0.0,0.6,0.0,0.0,1,0,1.4655641504716224
MASnBr3,MA,Sn,Br,2.17,1.1,1.96,2.55,1.96,2.96,0.1,1.11,3.36,0.9543630739543926,0.5612244897959184,229.220928,2.828230434449966,1.0,0.5612244897959184,3.06,0.106796531248665,0.5356119292601184,0.0,0.6,0.0,0.0,1,0,1.455767179851514
MASnCl3,MA,Sn,Cl,2.17,1.1,1.81,2.55,1.96,3.16,0.1,1.11,3.61,0.9671082436846936,0.6077348066298343,197.13736800000004,2.1639857627360835,1.2000000000000002,0.6077348066298343,2.91,0.1180902445648964,0.587745341465836,0.0,0.6,0.0,0.0,1,0,1.3829166828290904
MASrI3,MA,Sr,I,2.17,1.18,2.2,2.55,0.95,2.66,0.1,0.05,3.05,0.914217938989708,0.5363636363636363,308.915776,2.68936447556386,1.7100000000000002,0.5363636363636363,3.38,0.0875319491614439,0.4903532581853887,0.0,0.6,0.0,0.0,1,0,1.2121682553916509
MACaI3,MA,Ca,I,2.17,1.0,2.2,2.55,1.0,2.66,0.1,0.02,3.05,0.9656426980578788,0.4545454545454545,262.14400000000006,2.867674281216269,1.66,0.4545454545454545,3.2,0.0976562499999999,0.4389284991172176,0.0,0.6,0.0,0.0,1,0,1.2475835496354881
