formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
CsPbI3,4.338660889654819,4.525483399593905,4.712305909532991,,1.88,1.8,1.4,0.79,2.33,2.66,0.5,0.3567212,3.059046537,0.724784450716211,1.2857142857142858,92.52394865951103,12.93693012127691,0.33,1.2857142857142858,0.0412823323925683,0.9375332947251735,-1.855153460465058,-0.1036965017521455,0,Pb,1,2.0
CsPbBr3,4.0006405076505365,4.171930009000631,4.343219510350726,,1.88,1.8,1.15,0.79,2.33,2.96,0.5,0.3567212,3.3635883,0.7262825583034707,1.565217391304348,72.49003699106447,13.28226713170402,0.6299999999999999,1.565217391304348,0.0410576162544793,0.9846048275412534,-2.170924034511654,-0.0322585023585751,0,Pb,1,2.0
CsPbCl3,3.7978282784479664,3.9597979746446654,4.121767670841366,,1.88,1.8,1.0,0.79,2.33,3.16,0.5,0.3567212,3.61272528,0.7273098320775917,1.8,61.98575017975365,11.960635974780953,0.8300000000000001,1.8,0.0409035251883611,1.0458618616100364,-2.360386378939612,0.0106042972775671,0,Pb,1,2.0
CsPbF3,3.1217875144394007,3.2526911934581184,3.383594872476836,,1.88,1.8,0.5,0.79,2.33,3.98,0.5,0.3567212,3.401189824,0.7317017996626014,3.6,34.35773544826913,19.19266699200748,1.65,3.6,0.0402447300506097,1.5668366115043102,-2.991927527032803,0.1534802960647084,0,Pb,1,2.0
CsPbO3,3.256995667241114,3.394112549695428,3.5312294321497424,,1.88,1.8,0.6,0.79,2.33,3.44,0.5,0.3567212,1.461112979,0.7306770072260991,3.0,39.036363728533225,16.509640713518074,1.11,3.0,0.0403984489160851,1.4083406409713748,-2.865619297414165,0.1249050963072804,0,Pb,1,2.0
CsPbS3,3.7978282784479664,3.9597979746446654,4.121767670841366,,1.88,1.8,1.0,0.79,2.33,2.58,0.5,0.3567212,2.07710426,0.7273098320775917,1.8,61.98575017975365,11.688345754293469,0.25,1.8,0.0409035251883611,1.0458618616100364,-2.360386378939612,0.0106042972775671,0,Pb,1,2.0
CsPbSe3,4.0006405076505365,4.171930009000631,4.343219510350726,,1.88,1.8,1.15,0.79,2.33,2.55,0.5,0.3567212,2.020604712,0.7262825583034707,1.565217391304348,72.49003699106447,13.217392608880118,0.2199999999999997,1.565217391304348,0.0410576162544793,0.9846048275412534,-2.170924034511654,-0.0322585023585751,0,Pb,1,2.0
CsSnI3,3.917932354848823,4.030508652763321,4.143084950677819,,1.88,1.45,1.4,0.79,1.96,2.66,0.5,1.1120702,3.059046537,0.8137930674708336,1.0357142857142858,65.42453272367449,16.04950433637521,0.7000000000000002,1.0357142857142858,0.0279310398793749,1.1476628928878314,-2.2867079528544747,-0.038252418278112,1,Sn,1,3.0
CsSnBr3,3.57991197284454,3.676955262170047,3.773998551495554,,1.88,1.45,1.15,0.79,1.96,2.96,0.5,1.1120702,3.3635883,0.8240513642289381,1.2608695652173914,49.67780778604162,16.423580978404203,1.0,1.2608695652173914,0.0263922953656592,1.2020471332186569,-2.602478526901071,0.0331855811154587,1,Sn,1,3.0
CsSnCl3,3.3770997436419705,3.464823227814083,3.552546711986196,,1.88,1.45,1.0,0.79,1.96,3.16,0.5,1.1120702,3.61272528,0.8312112366601048,1.45,41.56853961571757,14.30034498013032,1.2000000000000002,1.45,0.0253183145009843,1.2790816957144295,-2.791940871329028,0.0760483807516011,1,Sn,1,3.0
CsSnF3,2.701058979633405,2.757716446627536,2.814373913621666,,1.88,1.45,0.5,0.79,1.96,3.98,0.5,1.1120702,3.401189824,0.8630328919097348,2.9,20.963581117722622,24.445825142256105,2.02,2.9,0.0205450662135398,2.0117738288915863,-3.4234820194222197,0.2189243795387423,1,Sn,1,3.0
CsSnO3,2.8362671324351183,2.899137802864845,2.962008473294572,,1.88,1.45,0.6,0.79,1.96,3.44,0.5,1.1120702,1.461112979,0.8554267401671404,2.4166666666666665,24.3557937496231,20.42765710434792,1.48,2.4166666666666665,0.0216859889749289,1.7785305633513673,-3.297173789803581,0.1903491797813142,1,Sn,1,3.0
CsSnS3,3.3770997436419705,3.464823227814083,3.552546711986196,,1.88,1.45,1.0,0.79,1.96,2.58,0.5,1.1120702,2.07710426,0.8312112366601048,1.45,41.56853961571757,13.894314031255098,0.6200000000000001,1.45,0.0253183145009843,1.2790816957144295,-2.791940871329028,0.0760483807516011,1,Sn,1,3.0
CsSnSe3,3.57991197284454,3.676955262170047,3.773998551495554,,1.88,1.45,1.15,0.79,1.96,2.55,0.5,1.1120702,2.020604712,0.8240513642289381,1.2608695652173914,49.67780778604162,16.32891583980676,0.5899999999999999,1.2608695652173914,0.0263922953656592,1.2020471332186569,-2.602478526901071,0.0331855811154587,1,Sn,1,3.0
CsGeI3,3.677516049245397,3.747665940288702,3.817815831332007,,1.88,1.25,1.4,0.79,2.01,2.66,0.5,1.232676413,3.059046537,0.8752114121856135,0.8928571428571429,52.6175258402293,18.50198167104269,0.6500000000000004,0.8928571428571429,0.0187182881721579,1.3397910239299873,-2.533310519934141,-0.0008557991500926,1,Ge,1,0.0
CsGeBr3,3.339495667241114,3.394112549695428,3.448729432149742,,1.88,1.25,1.15,0.79,2.01,2.96,0.5,1.232676413,3.3635883,0.8927223112480162,1.0869565217391306,39.09005192169155,18.91490647038414,0.9500000000000002,1.0869565217391306,0.0160916533127975,1.41023723567543,-2.849081093980737,0.070582200243478,1,Ge,1,0.0
CsGeCl3,3.181980515339464,3.181980515339464,3.181980515339464,,1.88,1.25,1.0,0.79,2.01,3.16,0.5,1.232676413,3.61272528,0.9050966799187808,1.25,32.21755271781208,16.07638042464422,1.1500000000000004,1.25,1.709300165674279e-16,1.5078966082933485,-3.029463047143939,0.0836187159740222,1,Ge,1,0.0
CsGeF3,2.4748737341529163,2.4748737341529163,2.4748737341529163,,1.88,1.25,0.5,0.79,2.01,3.98,0.5,1.232676413,3.401189824,0.9616652224137046,2.5,15.158601621686612,28.760516718985016,1.97,2.5,0.0,2.4794611746617576,-3.667231784472959,0.2469504241220822,1,Ge,1,0.0
CsGeO3,2.616295090390226,2.616295090390226,2.616295090390226,,1.88,1.25,0.6,0.79,2.01,3.44,0.5,1.232676413,1.461112979,0.947905306671696,2.083333333333333,17.9085398937211,23.50995573830896,1.4300000000000002,2.083333333333333,0.0,2.162582998886584,-3.539678037007155,0.2142840824924702,1,Ge,1,0.0
CsGeS3,3.181980515339464,3.181980515339464,3.181980515339464,,1.88,1.25,1.0,0.79,2.01,2.58,0.5,1.232676413,2.07710426,0.9050966799187808,1.25,32.21755271781208,15.552500981306,0.5700000000000003,1.25,1.709300165674279e-16,1.5078966082933485,-3.029463047143939,0.0836187159740222,1,Ge,1,0.0
