formula,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,a,b,c,volume,density
CsPbI3,,1.88,1.8,1.4,0.79,2.33,2.66,0.5,0.3567212,3.059046537,0.724784450716211,1.2857142857142858,4.338660889654819,4.525483399593905,4.712305909532991,92.52394865951103,12.93693012127691
CsPbBr3,,1.88,1.8,1.15,0.79,2.33,2.96,0.5,0.3567212,3.3635883,0.7262825583034707,1.565217391304348,4.0006405076505365,4.171930009000631,4.343219510350726,72.49003699106447,13.282267131704021
CsPbCl3,,1.88,1.8,1.0,0.79,2.33,3.16,0.5,0.3567212,3.61272528,0.7273098320775917,1.8,3.7978282784479664,3.9597979746446663,4.121767670841366,61.985750179753644,11.960635974780951
CsPbF3,,1.88,1.8,0.5,0.79,2.33,3.98,0.5,0.3567212,3.401189824,0.7317017996626014,3.6,3.1217875144394007,3.2526911934581184,3.3835948724768357,34.35773544826913,19.19266699200748
CsPbO3,,1.88,1.8,0.6,0.79,2.33,3.44,0.5,0.3567212,1.461112979,0.7306770072260991,3.0,3.256995667241114,3.394112549695428,3.5312294321497424,39.036363728533225,16.509640713518074
CsPbS3,,1.88,1.8,1.0,0.79,2.33,2.58,0.5,0.3567212,2.07710426,0.7273098320775917,1.8,3.7978282784479664,3.9597979746446663,4.121767670841366,61.985750179753644,11.688345754293469
CsPbSe3,,1.88,1.8,1.15,0.79,2.33,2.55,0.5,0.3567212,2.020604712,0.7262825583034707,1.565217391304348,4.0006405076505365,4.171930009000631,4.343219510350726,72.49003699106447,13.217392608880118
CsSnI3,,1.88,1.45,1.4,0.79,1.96,2.66,0.5,1.1120702,3.059046537,0.8137930674708336,1.0357142857142858,3.9179323548488227,4.030508652763321,4.143084950677819,65.42453272367449,16.04950433637521
CsSnBr3,,1.88,1.45,1.15,0.79,1.96,2.96,0.5,1.1120702,3.3635883,0.8240513642289381,1.2608695652173914,3.57991197284454,3.676955262170047,3.773998551495554,49.67780778604162,16.423580978404203
CsSnCl3,,1.88,1.45,1.0,0.79,1.96,3.16,0.5,1.1120702,3.61272528,0.8312112366601048,1.45,3.3770997436419705,3.464823227814083,3.5525467119861958,41.56853961571757,14.30034498013032
