formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index
AcAlO3,3.85863387,3.85863387,3.85863387,4.1024,1.26,0.675,1.26,1.1,1.61,3.44,0.35,0.432835,1.461112979,0.921022335,0.535714286,57.45141324,8.728230082,1.83,0.535714286,0,0.605814008
AcBO3,3.721668,3.721668,3.721668,0.8071,1.26,0.41,1.26,1.1,2.04,3.44,0.35,0.27972325,1.461112979,1.067172586,0.325396825,51.54812641,9.206878606,1.4,0.325396825,0,0.655801084
AcCrO3,3.9442869,3.94430226,3.9442715,2.0031,1.26,0.94,1.26,1.1,1.66,3.44,0.35,0.67592827,1.461112979,0.810081008,0.746031746,61.36284504,8.848788047,1.78,0.746031746,3.90E-06,0.602901702
AcCuO3,3.91333125,3.91333125,3.91333125,0,1.26,0.82,1.26,1.1,1.9,3.44,0.35,1.235784,1.461112979,0.856816451,0.650793651,59.92938666,9.380470938,1.54,0.650793651,0,0.59780666
AcFeO3,3.95356962,3.9535675,3.95358451,0.9888,1.26,0.8525,1.26,1.1,1.83,3.44,0.35,0.15323635,1.461112979,0.843634659,0.676587302,61.79731063,8.889999466,1.61,0.676587302,2.34E-06,0.584359203
AcGaO3,3.94626209,3.94626209,3.94626209,2.8959,1.26,0.76,1.26,1.1,1.81,3.44,0.35,0.30116615,1.461112979,0.882266444,0.603174603,61.45507829,9.314495003,1.63,0.603174603,0,0.575304774
AcMgO3,4.016262,4.016262,4.016262,0,1.26,0.86,1.26,1.1,1.31,3.44,0.35,-0.42,1.461112979,0.840650103,0.682539683,64.78375373,7.671748359,2.13,0.682539683,0,0.558487655
AcMnO3,3.96302168,3.96302168,3.96302168,0,1.26,0.8775,1.26,1.1,1.55,3.44,0.35,-0.52,1.461112979,0.833767587,0.696428571,62.24139883,8.802373253,1.89,0.696428571,0,0.583966718
AcNiO3,3.87883955,3.87883649,3.87881202,0,1.26,0.74,1.26,1.1,1.91,3.44,0.35,1.1571612,1.461112979,0.891089109,0.587301587,58.3582178,9.494942767,1.53,0.587301587,3.89E-06,0.603411503
AcPdO3,4.05520794,4.05520691,4.05520589,0,1.26,0.84625,1.26,1.1,2.2,3.44,0.35,0.5621412,1.461112979,0.846138026,0.671626984,66.68667374,9.497547055,1.24,0.671626984,2.53E-07,0.540665223
AcScO3,4.125046,4.125046,4.125046,3.3847,1.26,0.885,1.26,1.1,1.36,3.44,0.35,0.17938023,1.461112979,0.830852316,0.702380952,70.19180131,7.569207409,2.08,0.702380952,0,0.518865425
AcSiO3,3.970175,3.970175,3.970175,0,1.26,0.54,1.26,1.1,1.9,3.44,0.35,1.38952128,1.461112979,0.99009901,0.428571429,62.57904784,8.042345508,1.54,0.428571429,0,0.546128559
AcTiO3,3.99582001,3.99582001,3.99582001,0,1.26,0.851666667,1.26,1.1,1.54,3.44,0.35,0.075545,1.461112979,0.843967585,0.675925926,63.79957007,8.403352518,1.9,0.675925926,1.36E-16,0.565900742
AcVO3,3.96789433,3.96789746,3.96789433,0,1.26,0.7775,1.26,1.1,1.63,3.44,0.35,0.527662,1.461112979,0.874688696,0.617063492,62.47131331,8.66374623,1.81,0.617063492,4.55E-07,0.568026606
AgAsO3,6.389075483,6.389075483,6.389075851,0.2921,1.086666667,0.66,1.26,1.93,2.18,3.44,1.304473,0.8044863,1.461112979,0.864372152,0.523809524,119.2805516,6.425733028,1.26,0.523809524,3.32E-08,0.265900149
AgAsO3,7.778960826,7.778960826,5.158002727,0.7378,1.086666667,0.66,1.26,1.93,2.18,3.44,1.304473,0.8044863,1.461112979,0.864372152,0.523809524,304.7254522,5.030528133,1.26,0.523809524,0.219137341,0.104082925
AgAuO3,6.423519613,6.423519613,7.539733,0,1.086666667,1.07,1.26,1.93,2.54,3.44,1.304473,2.30861025,1.461112979,0.712272331,0.849206349,294.2950671,7.963340123,0.9,0.849206349,0.094832977,0.121116213
AgAuO3,7.28592645,7.28592645,7.28592645,0.2423,1.086666667,1.07,1.26,1.93,2.54,3.44,1.304473,2.30861025,1.461112979,0.712272331,0.849206349,273.4886772,8.569172737,0.9,0.849206349,0,0.130330456
AgBO3,3.483287,3.483287,3.483287,0,1.086666667,0.41,1.26,1.93,2.04,3.44,1.304473,0.27972325,1.461112979,0.99376918,0.325396825,42.26372549,6.548744367,1.4,0.325396825,1.56E-16,0.728784584
AgBO3,6.001194421,6.001194421,6.001195138,0,1.086666667,0.41,1.26,1.93,2.04,3.44,1.304473,0.27972325,1.461112979,0.99376918,0.325396825,109.9353807,5.035218551,1.4,0.325396825,6.90E-08,0.280175057
AgBiO3,6.303216286,6.303216286,6.303216494,0,1.086666667,1.035,1.26,1.93,2.02,3.44,1.304473,0.94236213,1.461112979,0.723134872,0.821428571,154.6300754,7.836022365,1.42,0.821428571,1.90E-08,0.227359668
AgBiO3,6.68804174,6.68804174,3.49088122,0,1.086666667,1.035,1.26,1.93,2.02,3.44,1.304473,0.94236213,1.461112979,0.723134872,0.821428571,149.2659069,8.117625484,1.42,0.821428571,0.32831304,0.235530292
AgCO3,6.031251394,6.031251806,6.031252522,0,1.086666667,0.3,1.26,1.93,2.55,3.44,1.304473,1.262122611,1.461112979,1.063842648,0.238095238,113.345982,4.918859547,0.89,0.238095238,9.46E-08,0.270195315
AgGeO3,2.993014,5.324973,7.139362,0,1.086666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.817534252,0.611111111,113.7851435,6.669478851,1.43,0.611111111,0.40341022,0.284964943
AgGeO3,3.170383,5.158475,9.308652,0,1.086666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.817534252,0.611111111,152.2368732,4.984913263,1.43,0.611111111,0.532720481,0.212988984
AgGeO3,5.158475128,9.308652172,3.170383214,0,1.086666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.817534252,0.611111111,152.2296316,4.985150398,1.43,0.611111111,0.532720463,0.212999116
AgGeO3,10.40786161,8.850075154,3.17289304,0,1.086666667,0.77,1.26,1.93,2.01,3.44,1.304473,1.232676413,1.461112979,0.817534252,0.611111111,292.2558937,5.193309184,1.43,0.611111111,0.509289324,0.110946529
AgNO3,4.151836391,4.151836044,4.151836391,1.7204,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,66.94305711,4.213744204,0.4,0.5,4.82E-08,0.47144322
AgNO3,6.201768483,6.201684965,6.201686928,1.8539,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,125.104504,4.509524595,0.4,0.5,7.69E-06,0.252267899
AgNO3,6.90205076,7.20285772,10.01382351,2.0089,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,497.8321247,4.532948436,0.4,0.5,0.213487587,0.063394564
AgNO3,7.077779,7.419143,10.226522,2.0027,1.086666667,0.63,1.26,1.93,3.04,3.44,1.304473,-0.07,1.461112979,0.878092344,0.5,537.0054543,4.202280132,0.4,0.5,0.209659539,0.058770074
AgPO3,4.050258,5.872686,11.96470882,2.287,1.086666667,0.55,1.26,1.93,2.19,3.44,1.304473,0.74660911,1.461112979,0.916903056,0.436507937,264.7268376,4.687932528,1.25,0.436507937,0.568090962,0.117892716
AgPO3,5.97752081,7.317044275,13.59925276,2.0232,1.086666667,0.55,1.26,1.93,2.19,3.44,1.304473,0.74660911,1.461112979,0.916903056,0.436507937,523.5448041,4.740841827,1.25,0.436507937,0.453920576,0.059611643
AgPS3,6.780253846,6.780254284,6.619494314,1.3228,1.086666667,0.55,0.88,1.93,2.19,2.58,1.304473,0.74660911,2.07710426,0.972624735,0.625,222.4638175,3.508777848,0.39,0.625,0.013798019,0.065788359
AgPbO3,6.063536039,6.063536039,6.063536146,0,1.1225,1.086666667,1.26,2.33,1.93,3.44,0.3567212,1.304473,1.461112979,0.718012649,0.862433862,146.4184684,8.235107872,1.51,0.862433862,1.02E-08,0.248854541
AgPd3Se,8.775577,8.775577,8.775577,0,1.086666667,1.013333333,0.84625,1.93,2.55,2.2,1.304473,2.020604712,0.5621412,0.735102799,1.197439685,675.8137812,9.948056706,0.35,1.197439685,0,0.025671579
AgPdO3,6.477634781,6.477634781,6.838195,0,1.086666667,0.84625,1.26,1.93,2.2,3.44,1.304473,0.5621412,1.461112979,0.787938056,0.671626984,267.596322,6.510355757,1.24,0.671626984,0.031551254,0.123510665
AgRuO3,7.214616145,7.214616145,7.214616145,0,1.086666667,0.661,1.26,1.93,2.2,3.44,1.304473,1.046272,1.461112979,0.863922192,0.524603175,265.5367835,6.427025654,1.24,0.524603175,1.51E-16,0.119464423
AgSbO3,6.365893471,6.365892971,6.365893763,0.1333,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,137.6369854,6.698918635,1.39,0.658730159,6.29E-08,0.239089455
AgSbO3,7.270079791,7.270079791,7.270079791,0.0946,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,271.7080679,6.786835394,1.39,0.658730159,1.50E-16,0.121113635
AgSbO3,8.102397,8.3480744,13.44267748,0,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,857.910165,6.44836024,1.39,0.658730159,0.302557119,0.038357806
AgSbO3,8.165706637,8.165706637,9.517102341,0.2875,1.086666667,0.83,1.26,1.93,2.05,3.44,1.304473,1.04740119,1.461112979,0.794064369,0.658730159,430.8249683,6.420372778,1.39,0.658730159,0.090553982,0.076382648
AgSnO3,6.605299848,6.605299848,3.286703,0,1.086666667,0.83,1.26,1.93,1.96,3.44,1.304473,1.1120702,1.461112979,0.794064369,0.658730159,134.5949134,6.775067907,1.48,0.658730159,0.348419281,0.24449328
AgTeO3,5.461745684,6.91813729,7.39980156,1.1676,1.293333333,1.086666667,1.26,2.1,1.93,3.44,1.9708757,1.304473,1.461112979,0.769496593,0.862433862,274.1800335,6.867123404,1.51,0.862433862,0.153043969,0.144337176
