formula,A_site,B_site,X_site,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,chi_diff_BX,r_ratio_BX,bond_len_BX,inv_bond_sq,stability_index,volume,density,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site_encoded
CsPbI3,Cs,Pb,I,1.88,1.19,2.2,0.79,2.33,2.66,0.47,0.36,3.05,0.8510311702776147,0.5409090909090909,0.33000000000000007,0.5409090909090909,3.39,0.08701629815264399,0.4603304966501643,311.66575200000005,3.8404750249837245,0.0,0.6,1.0112410994915122,1.411736145578775,1,2
CsPbBr3,Cs,Pb,Br,1.88,1.19,1.96,0.79,2.33,2.96,0.47,0.36,3.36,0.8619968380178864,0.6071428571428571,0.6299999999999999,0.6071428571428571,3.15,0.10078105316200554,0.5233552230822881,250.04699999999997,3.850488330047157,0.0,0.6,1.3650906343215936,1.3265903037891724,1,2
CsPbCl3,Cs,Pb,Cl,1.88,1.19,1.81,0.79,2.33,3.16,0.47,0.36,3.61,0.8697413408594533,0.6574585635359116,0.8300000000000001,0.6574585635359116,3.0,0.1111111111111111,0.5718188926092538,216.0,3.43109216822269,0.0,0.6,1.5889178957167707,1.2635439317390422,1,2
CsSnI3,Cs,Sn,I,1.88,1.1,2.2,0.79,1.96,2.66,0.47,1.11,3.05,0.8742411112851859,0.5,0.7000000000000002,0.5,3.3000000000000003,0.09182736455463726,0.43712055564259295,287.4960000000001,3.6521669665706264,0.0,0.6,1.0705500116941127,0.9724002636566773,1,3
CsSnBr3,Cs,Sn,Br,1.88,1.1,1.96,0.79,1.96,2.96,0.47,1.11,3.36,0.8873496861948832,0.5612244897959184,1.0,0.5612244897959184,3.06,0.10679653124866505,0.49800237490529164,229.22092800000001,3.5591947040093967,0.0,0.6,1.424399546524194,0.8872544218670748,1,3
CsSnCl3,Cs,Sn,Cl,1.88,1.1,1.81,0.79,1.96,3.16,0.47,1.11,3.61,0.8966405575870653,0.6077348066298343,1.2000000000000002,0.6077348066298343,2.91,0.11809024456489647,0.5449196758816419,197.13736800000004,3.013912440276258,0.0,0.6,1.648226807919371,0.8242080498169446,1,3
CsGeI3,Cs,Ge,I,1.88,0.73,2.2,0.79,2.01,2.66,0.47,1.23,3.05,0.9846401594679568,0.3318181818181818,0.6500000000000004,0.3318181818181818,2.93,0.11648359328588567,0.326721507459822,201.23005600000002,4.837402390338539,0.0,0.6,0.0011733371759545393,1.6587724900723395,0,0
CsGeBr3,Cs,Ge,Br,1.88,0.73,1.96,0.79,2.01,2.96,0.47,1.23,3.36,1.009401501768157,0.37244897959183676,0.9500000000000002,0.37244897959183676,2.69,0.13819598955238319,0.3759505593320177,155.72087199999999,4.747528466619993,0.0,0.6,0.3550228720060362,1.573626648282737,0,0
CsGeCl3,Cs,Ge,Cl,1.88,0.73,1.81,0.79,2.01,3.16,0.47,1.23,3.61,1.0272535521962047,0.4033149171270718,1.1500000000000004,0.4033149171270718,2.54,0.15500031000062,0.4143066812725024,131.09651200000002,3.948252456477925,0.0,0.6,0.5788501334012129,1.5105802762326068,1,0
CsTiI3,Cs,Ti,I,1.88,0.6,2.2,0.79,1.54,2.66,0.47,0.08,3.05,1.0303555954432548,0.2727272727272727,1.12,0.2727272727272727,2.8000000000000003,0.12755102040816324,0.281006071484524,175.61600000000004,5.3084481052467485,0.0,0.6,0.03297632903694302,1.1264158126640265,0,4
CsTiBr3,Cs,Ti,Br,1.88,0.6,1.96,0.79,1.54,2.96,0.47,0.08,3.36,1.0606601717798212,0.30612244897959184,1.42,0.30612244897959184,2.56,0.152587890625,0.3246918893203534,134.21772800000002,5.2013020307983675,0.0,0.6,0.3868258638670247,1.041269970874424,0,4
