iter	RMSE
0	1.450371001
1	1.423804238
2	1.40219186
3	1.381514022
4	1.361391683
5	1.340586802
6	1.320656711
7	1.301475143
8	1.286323439
9	1.271242191
10	1.256987702
11	1.245608048
12	1.234778808
13	1.221175823
14	1.20780486
15	1.19726263
16	1.18700615
17	1.176700702
18	1.168822661
19	1.158327409
20	1.147933633
21	1.138787854
22	1.129056324
23	1.12068409
24	1.111291126
25	1.102827691
26	1.096450762
27	1.086938846
28	1.079329883
29	1.07228466
30	1.065500621
31	1.057874534
32	1.051389163
33	1.046747172
34	1.039261319
35	1.034528603
36	1.028253585
37	1.023251101
38	1.018104857
39	1.013955244
40	1.008356894
41	1.00307693
42	0.9959797096
43	0.9910862317
44	0.9872539456
45	0.9822820236
46	0.9779933196
47	0.972879109
48	0.9700164721
49	0.9655437675
50	0.9593681272
51	0.9540020716
52	0.9487920272
53	0.9456627978
54	0.9424922112
55	0.9406968005
56	0.9376089428
57	0.9338396593
58	0.9294454443
59	0.9246515917
60	0.9213429075
61	0.9156099001
62	0.912461687
63	0.910155371
64	0.9060272539
65	0.9017941506
66	0.8968711473
67	0.8930556919
68	0.8896454638
69	0.8869802421
70	0.8833730572
71	0.8808733829
72	0.8778854966
73	0.8742842726
74	0.8718147812
75	0.8696636694
76	0.8671717816
77	0.8639800067
78	0.8609670103
79	0.8579122432
80	0.8548884152
81	0.8523432714
82	0.8500500445
83	0.8477273605
84	0.845661638
85	0.8438521091
86	0.8417120634
87	0.8397365869
88	0.8385237646
89	0.8354959775
90	0.833228337
91	0.8316290236
92	0.8301399679
93	0.8283156112
94	0.8263760848
95	0.8232218506
96	0.8203199502
97	0.8191897756
98	0.8165590779
99	0.8133782312
100	0.8117251442
101	0.8104127005
102	0.8086700871
103	0.8064126252
104	0.8046676024
105	0.8025358305
106	0.8013547577
107	0.7992493259
108	0.7960015315
109	0.7941514402
110	0.7922499439
111	0.7900704517
112	0.7886034257
113	0.7854180115
114	0.7837597859
115	0.782656937
116	0.7814886275
117	0.7791805756
118	0.777422016
119	0.7755627273
120	0.7737812775
121	0.7720118768
122	0.7699672759
123	0.7680696961
124	0.7656581011
125	0.763982271
126	0.7619737612
127	0.7599446813
128	0.7574758663
129	0.756020308
130	0.7549317233
131	0.7535936446
132	0.7521338857
133	0.7501834978
134	0.7487416224
135	0.7478586508
136	0.7458677302
137	0.7447530757
138	0.7426604018
139	0.7409391577
140	0.7400987747
141	0.7381256947
142	0.7366407424
143	0.734434455
144	0.7327662224
145	0.7308250571
146	0.7282136367
147	0.7264033471
148	0.7252951805
149	0.7240207206
150	0.7219739114
151	0.7205603268
152	0.7193991669
153	0.7178609284
154	0.7159068239
155	0.7136500512
156	0.7116623186
157	0.7099398398
158	0.708372597
159	0.7067650552
160	0.7051261763
161	0.7038880619
162	0.7021679964
163	0.70047014
164	0.6993116095
165	0.6960019466
166	0.6949280499
167	0.6935217569
168	0.6924360172
169	0.690731274
170	0.6896412197
171	0.6882545859
172	0.6872048063
173	0.6864498121
174	0.6852660664
175	0.684046503
176	0.6827976177
177	0.6811963106
178	0.6803920874
179	0.6786677919
180	0.6777831877
181	0.6766809647
182	0.675790624
183	0.6750981935
184	0.6726712651
185	0.6709279546
186	0.6690674898
187	0.6677744629
188	0.6665079439
189	0.6650856741
190	0.6640596321
191	0.6626297263
192	0.6606644351
193	0.6588993072
194	0.6577089332
195	0.6557844055
196	0.6541014138
197	0.652533728
198	0.6499015906
199	0.648563552
200	0.6469544098
201	0.645660843
202	0.6439073778
203	0.642369905
204	0.6415136771
205	0.6406851797
206	0.6398021191
207	0.6379405451
208	0.6372612446
209	0.6357604886
210	0.6338214847
211	0.6322681626
212	0.631235905
213	0.629981594
214	0.6288330649
215	0.6279291103
216	0.6266780569
217	0.6252968983
218	0.6240991837
219	0.623566816
220	0.6219637738
221	0.6209003134
222	0.6201639688
223	0.618465942
224	0.6171041215
225	0.6153547641
226	0.6140103843
227	0.6123472028
228	0.610891379
229	0.6093629242
230	0.6079568929
231	0.6064049293
232	0.6045930368
233	0.6030241058
234	0.6021654753
235	0.6013265347
236	0.6006299522
237	0.5997183709
238	0.5980725455
239	0.5963979374
240	0.5948326052
241	0.5940651645
242	0.5931325778
243	0.5917348106
244	0.5906439059
245	0.5892733522
246	0.5882857242
247	0.5875496228
248	0.5862296801
249	0.585806783
250	0.5842331419
251	0.5830342391
252	0.5818641972
253	0.5808106847
254	0.5801334564
255	0.5790375089
256	0.5777158704
257	0.5766834092
258	0.575669836
259	0.5740605065
260	0.5732932947
261	0.5721307448
262	0.5709615858
263	0.5701229442
264	0.5694731161
265	0.5683334604
266	0.5676016577
267	0.5663194913
268	0.5649427277
269	0.5639978801
270	0.5625871637
271	0.5617666693
272	0.5606986269
273	0.5593321295
274	0.558052243
275	0.5575898115
276	0.5560980582
277	0.5553683184
278	0.554462935
279	0.5533230887
280	0.5523078649
281	0.5511428135
282	0.5497518787
283	0.5485160211
284	0.5476833018
285	0.5464933309
286	0.5452549752
287	0.5444309101
288	0.5427675843
289	0.5420108392
290	0.5409341885
291	0.5395663266
292	0.538999675
293	0.5383967742
294	0.536831985
295	0.5360860643
296	0.5352011497
297	0.5336022845
298	0.5325156909
299	0.531497019
300	0.530588268
301	0.5301107402
302	0.5285396927
303	0.5275027918
304	0.5265440364
305	0.5254381516
306	0.5251376211
307	0.5241916946
308	0.5233570211
309	0.5224017384
310	0.5215694764
311	0.5209162243
312	0.5199987213
313	0.5192302749
314	0.5184242306
315	0.5172276893
316	0.5160715393
317	0.5147497578
318	0.5140740356
319	0.5134850417
320	0.5126959366
321	0.5115700657
322	0.5105234548
323	0.5097027911
324	0.5084738034
325	0.5073662573
326	0.5065739413
327	0.5059986109
328	0.5057344677
329	0.5048931592
330	0.5034054919
331	0.5028698658
332	0.5017503576
333	0.5008797621
334	0.4999886878
335	0.499486175
336	0.4983208043
337	0.4971737364
338	0.4966909149
339	0.4961127062
340	0.4953063318
341	0.4947537468
342	0.4938977648
343	0.4927740857
344	0.4918412093
345	0.4911517452
346	0.4909273127
347	0.4900672919
348	0.4890210185
349	0.4877200281
350	0.4870419671
351	0.4864566164
352	0.4853020933
353	0.4839996685
354	0.4831441687
355	0.4825368755
356	0.4817044472
357	0.4805484089
358	0.4802585543
359	0.4793953367
360	0.478652415
361	0.4780169125
362	0.4772795926
363	0.476420719
364	0.4760409932
365	0.4751176029
366	0.4743479061
367	0.4731823565
368	0.4723488559
369	0.4715897405
370	0.4707885709
371	0.4704312082
372	0.4699631524
373	0.4691192545
374	0.4684609159
375	0.4678893624
376	0.4671077186
377	0.4658317338
378	0.4650251965
379	0.4644304238
380	0.463689085
381	0.4629575789
382	0.4625419645
383	0.4617597483
384	0.4610608408
385	0.4599683792
386	0.4595445887
387	0.4592927651
388	0.4581963631
389	0.4575568448
390	0.4571365967
391	0.4562677872
392	0.4553978967
393	0.4544919785
394	0.4535125295
395	0.4531634191
396	0.4525098682
397	0.4514704113
398	0.4509631718
399	0.450177818
400	0.4498502238
401	0.4491204024
402	0.4481629404
403	0.4476530554
404	0.4468520161
405	0.4459672546
406	0.4456380322
407	0.4449337723
408	0.4440537912
409	0.4434531713
410	0.4426499027
411	0.441961873
412	0.4415153883
413	0.4406157209
414	0.4398960911
415	0.4391420521
416	0.4382763593
417	0.4374699655
418	0.4369627578
419	0.4360585677
420	0.4355626227
421	0.4351911534
422	0.4341468961
423	0.4332936375
424	0.432495911
425	0.4317492074
426	0.4312329898
427	0.4306376409
428	0.4300067977
429	0.4297633821
430	0.4290586187
431	0.4283354945
432	0.4280225984
433	0.4272562987
434	0.4265117152
435	0.4263162775
436	0.4258800664
437	0.4251438797
438	0.4246007634
439	0.4237052948
440	0.4230283249
441	0.4227219251
442	0.4220862212
443	0.4214789685
444	0.4206939409
445	0.4201390896
446	0.41976171
447	0.4189066938
448	0.4186938032
449	0.4180414477
450	0.4171461673
451	0.4168197276
452	0.4159621529
453	0.4152317811
454	0.4145432924
455	0.4136453041
456	0.4132591499
457	0.4128625143
458	0.4120662428
459	0.4116222719
460	0.411398994
461	0.4108951127
462	0.4102676898
463	0.4097623209
464	0.4093501357
465	0.4082897759
466	0.4077884275
467	0.4072686058
468	0.4062086452
469	0.4056371783
470	0.4051387273
471	0.4046516682
472	0.4043267847
473	0.4038329299
474	0.4032890097
475	0.4027509319
476	0.4017881813
477	0.4008425791
478	0.4002454863
479	0.3995737499
480	0.3990090996
481	0.3983906178
482	0.3977453819
483	0.3972151393
484	0.3964941615
485	0.3959732991
486	0.395211872
487	0.3947138178
488	0.3941660138
489	0.3936002637
490	0.3930438464
491	0.3926852028
492	0.3923255192
493	0.3916306656
494	0.3908134302
495	0.3903064069
496	0.3893033777
497	0.3889017094
498	0.3880945828
499	0.3876673826
500	0.3871133477
501	0.3865883305
502	0.3861667274
503	0.3853610798
504	0.3852685998
505	0.3846399519
506	0.3841250873
507	0.3831201664
508	0.3827625419
509	0.3823876177
510	0.3818167943
511	0.3810458837
512	0.3805979278
513	0.3800508186
514	0.3797032943
515	0.3788764409
516	0.3784017653
517	0.3780000095
518	0.3773256564
519	0.3769368075
520	0.3764735401
521	0.3761395658
522	0.3757307919
523	0.3752307357
524	0.3748168983
525	0.3740742547
526	0.373385425
527	0.372825127
528	0.372413365
529	0.3717734496
530	0.3716668555
531	0.3713427248
532	0.3707169047
533	0.3704104997
534	0.3699798047
535	0.3695054673
536	0.3687674006
537	0.3684464744
538	0.368104284
539	0.3674644315
540	0.3669102412
541	0.3666210251
542	0.3665077742
543	0.3660173467
544	0.3653428636
545	0.3648658613
546	0.3645820858
547	0.3644585799
548	0.3637930044
549	0.3633626371
550	0.3629288095
551	0.3625902059
552	0.3623197845
553	0.3620151876
554	0.3617042241
555	0.361297249
556	0.3605956348
557	0.3602936823
558	0.3601499844
559	0.3594853473
560	0.3591509139
561	0.3586922929
562	0.3584591093
563	0.3580588864
564	0.3573224288
565	0.3564589171
566	0.3557133178
567	0.3554223849
568	0.355072528
569	0.3548427983
570	0.3545609872
571	0.3543819825
572	0.3538591743
573	0.353566554
574	0.3530359848
575	0.3524761814
576	0.3518464662
577	0.3510303994
578	0.3504838268
579	0.3498432049
580	0.3494349629
581	0.3487682079
582	0.3479827163
583	0.3474240445
584	0.3466422008
585	0.3462320646
586	0.3456708176
587	0.3453572414
588	0.3447786831
589	0.3441096771
590	0.3438919127
591	0.3435755847
592	0.343169523
593	0.342834894
594	0.3423402999
595	0.3418759257
596	0.3414428186
597	0.3412782124
598	0.3409121796
599	0.3404181073
600	0.3396752612
601	0.3394655697
602	0.3385511343
603	0.3383632009
604	0.33811797
605	0.337542865
606	0.3368714261
607	0.336494928
608	0.3362420345
609	0.3358684746
610	0.3354745511
611	0.3350021951
612	0.3343556965
613	0.3341056506
614	0.3337816546
615	0.3334686014
616	0.333207344
617	0.3328061584
618	0.3323106172
619	0.3319333569
620	0.3315809664
621	0.3312950937
622	0.3306486231
623	0.330262129
624	0.3299937032
625	0.3294010734
626	0.3292601855
627	0.3290485142
628	0.3284839667
629	0.3276839807
630	0.3271360841
631	0.3265682968
632	0.3261752288
633	0.3257562955
634	0.3252778322
635	0.3248917097
636	0.3246476092
637	0.324280407
638	0.3238165385
639	0.3233629104
640	0.3231834546
641	0.3229849671
642	0.3225075156
643	0.3217879381
644	0.3214870848
645	0.3209755571
646	0.3207409871
647	0.3201983699
648	0.3197329408
649	0.3194548062
650	0.3192009348
651	0.3189079601
652	0.318651601
653	0.3181119341
654	0.3176247613
655	0.3172156082
656	0.3169148525
657	0.3164811727
658	0.3162542738
659	0.315828832
660	0.3154586295
661	0.3152635018
662	0.3149452545
663	0.3144795495
664	0.3143760583
665	0.3142869113
666	0.3139783184
667	0.3137299286
668	0.3133880009
669	0.3131616164
670	0.3127001038
671	0.3123067599
672	0.3116738975
673	0.3113810744
674	0.3107872362
675	0.3102745902
676	0.3099466631
677	0.3096503893
678	0.3094124149
679	0.308858138
680	0.3084664914
681	0.3081528
682	0.3075493301
683	0.3071619295
684	0.3066109407
685	0.3061169756
686	0.3056404271
687	0.3052857176
688	0.3048294028
689	0.3042918209
690	0.3041020724
691	0.3037943997
692	0.3033598827
693	0.3032108104
694	0.3028975206
695	0.3025887981
696	0.3021382375
697	0.3017502931
698	0.301415663
699	0.3011113156
700	0.3009434124
701	0.3003641803
702	0.300052243
703	0.2998266063
704	0.2995308186
705	0.2990854653
706	0.2984976234
707	0.298330614
708	0.2980598566
709	0.2975305132
710	0.2970363491
711	0.2968410473
712	0.2965852707
713	0.2961845205
714	0.2956825564
715	0.2951796205
716	0.2947909707
717	0.2945488809
718	0.2943247813
719	0.2940740755
720	0.2937461529
721	0.2934581966
722	0.2931092404
723	0.2928286479
724	0.292505333
725	0.2923080825
726	0.2921486035
727	0.2919652435
728	0.2916238929
729	0.2910976487
730	0.2907946652
731	0.2905464776
732	0.2902576946
733	0.2899251226
734	0.2898238839
735	0.2895647908
736	0.2893412884
737	0.2891316867
738	0.2887854424
739	0.2882359613
740	0.2879534451
741	0.2876840593
742	0.2875518027
743	0.2871492248
744	0.2868032926
745	0.2862720607
746	0.2858798389
747	0.2855075141
748	0.2852256736
749	0.2850079566
750	0.2846486337
751	0.2842402159
752	0.2836977474
753	0.2832756316
754	0.2829314482
755	0.2826989298
756	0.2823345546
757	0.2818044065
758	0.2813463181
759	0.2810008645
760	0.2806126381
761	0.2804099121
762	0.2801472107
763	0.2797911964
764	0.2793959309
765	0.2789819855
766	0.2788458428
767	0.278585422
768	0.2784092514
769	0.2780584191
770	0.2777430517
771	0.2775002578
772	0.2773000827
773	0.2769711451
774	0.2767129656
775	0.2765479872
776	0.2763693382
777	0.2758550794
778	0.2755932773
779	0.2751502552
780	0.2746761123
781	0.2743615378
782	0.2740337179
783	0.2737323226
784	0.2733683965
785	0.272821187
786	0.2725840783
787	0.2724765204
788	0.2721539607
789	0.2720242797
790	0.2717754604
791	0.2714316423
792	0.2711534986
793	0.2708568341
794	0.2706434097
795	0.2702775024
796	0.2698905248
797	0.2693957421
798	0.2692717122
799	0.2689271602
800	0.2685885426
801	0.2684092105
802	0.2681339101
803	0.2678537941
804	0.2675918036
805	0.2673791522
806	0.2671158551
807	0.2667484842
808	0.2666503055
809	0.2663905064
810	0.2662429207
811	0.2660516738
812	0.2656533682
813	0.2652769081
814	0.2649337706
815	0.2645995887
816	0.2641374632
817	0.2637282346
818	0.2635733242
819	0.263206381
820	0.2629301236
821	0.262616392
822	0.2623783921
823	0.262233956
824	0.2619287021
825	0.2615953099
826	0.2611898784
827	0.2608430076
828	0.2604486138
829	0.2601781773
830	0.259971511
831	0.2597637466
832	0.2592544298
833	0.2587457455
834	0.2584440896
835	0.2582345639
836	0.2581131178
837	0.257805787
838	0.2575719442
839	0.2573977915
840	0.2572373212
841	0.2569490111
842	0.2566575054
843	0.2564902637
844	0.2563369755
845	0.2560505699
846	0.2555854701
847	0.2551762932
848	0.2548419643
849	0.2544712244
850	0.2542607937
851	0.2538858623
852	0.2535224315
853	0.2532116173
854	0.2529158713
855	0.2527683173
856	0.2524980366
857	0.2523158888
858	0.2520642452
859	0.2519290366
860	0.2516441816
861	0.251260709
862	0.2511392095
863	0.2506654181
864	0.2504078862
865	0.2502784879
866	0.2497732491
867	0.2496845516
868	0.2494163015
869	0.2491184941
870	0.2486211195
871	0.2481966672
872	0.2479598681
873	0.2476804995
874	0.2474389274
875	0.2471316686
876	0.2468895105
877	0.2467729342
878	0.2462899193
879	0.2459745561
880	0.2455992413
881	0.2454467401
882	0.2451908269
883	0.2449207961
884	0.2446636646
885	0.2444621062
886	0.2443131819
887	0.2441379188
888	0.2439111933
889	0.2436091594
890	0.2433954363
891	0.2429037311
892	0.2426786493
893	0.242426963
894	0.2420206051
895	0.2416315018
896	0.2413524571
897	0.2412751564
898	0.2409396744
899	0.2408076044
900	0.2404998411
901	0.2400862078
902	0.2399364489
903	0.2395884749
904	0.239378192
905	0.2391782648
906	0.239012471
907	0.2388764957
908	0.2385397176
909	0.2383700814
