iter	Passed	Remaining
0	28	28864
1	35	17493
2	41	13888
3	48	12116
4	55	11047
5	63	10442
6	69	9901
7	76	9516
8	83	9149
9	90	8937
10	96	8696
11	103	8483
12	110	8375
13	116	8207
14	122	8065
15	129	7974
16	136	7876
17	143	7812
18	148	7684
19	155	7607
20	161	7506
21	166	7385
22	172	7322
23	178	7266
24	183	7171
25	190	7137
26	195	7061
27	201	6978
28	207	6952
29	212	6880
30	217	6801
31	224	6776
32	229	6738
33	236	6721
34	242	6691
35	248	6652
36	254	6624
37	259	6572
38	264	6517
39	270	6490
40	275	6454
41	281	6415
42	287	6407
43	293	6369
44	299	6347
45	305	6335
46	310	6301
47	316	6285
48	322	6258
49	327	6230
50	334	6229
51	340	6201
52	345	6180
53	352	6178
54	358	6152
55	364	6149
56	371	6144
57	378	6146
58	386	6157
59	392	6144
60	398	6132
61	404	6113
62	410	6100
63	416	6093
64	423	6094
65	432	6114
66	438	6112
67	445	6112
68	454	6128
69	459	6111
70	467	6118
71	475	6128
72	483	6135
73	488	6117
74	494	6102
75	500	6081
76	505	6061
77	511	6044
78	517	6027
79	522	6010
80	529	6004
81	534	5985
82	540	5970
83	546	5954
84	550	5929
85	556	5911
86	562	5899
87	567	5880
88	573	5866
89	578	5852
90	584	5834
91	590	5827
92	595	5812
93	601	5795
94	607	5789
95	612	5766
96	617	5752
97	624	5744
98	629	5733
99	635	5723
100	641	5712
101	647	5700
102	653	5689
103	673	5802
104	688	5870
105	699	5901
106	711	5934
107	717	5922
108	723	5915
109	729	5901
110	742	5948
111	750	5952
112	760	5970
113	768	5972
114	777	5985
115	784	5979
116	790	5965
117	795	5945
118	801	5937
119	807	5925
120	813	5909
121	820	5901
122	825	5889
123	831	5876
124	837	5864
125	843	5848
126	849	5837
127	854	5824
128	861	5813
129	867	5803
130	872	5785
131	877	5772
132	885	5769
133	891	5762
134	897	5751
135	903	5741
136	909	5730
137	917	5728
138	923	5718
139	929	5706
140	935	5696
141	941	5689
142	948	5683
143	954	5675
144	962	5674
145	970	5674
146	976	5663
147	984	5665
148	990	5654
149	997	5651
150	1003	5641
151	1009	5632
152	1016	5627
153	1022	5615
154	1028	5606
155	1035	5599
156	1041	5592
157	1049	5590
158	1055	5583
159	1063	5584
160	1069	5571
161	1074	5559
162	1093	5616
163	1099	5603
164	1104	5588
165	1110	5577
166	1115	5566
167	1121	5551
168	1126	5540
169	1131	5525
170	1136	5510
171	1141	5497
172	1147	5485
173	1152	5471
174	1158	5460
175	1163	5446
176	1169	5435
177	1175	5427
178	1180	5416
179	1186	5403
180	1191	5392
181	1196	5378
182	1201	5364
183	1207	5355
184	1212	5343
185	1217	5330
186	1223	5318
187	1228	5307
188	1234	5295
189	1240	5286
190	1245	5274
191	1249	5260
192	1255	5251
193	1261	5242
194	1266	5229
195	1273	5222
196	1277	5208
197	1282	5195
198	1288	5187
199	1294	5177
200	1299	5165
201	1306	5162
202	1312	5153
203	1318	5146
204	1324	5138
205	1329	5125
206	1335	5116
207	1341	5108
208	1346	5097
209	1353	5092
210	1358	5081
211	1364	5070
212	1370	5063
213	1375	5052
214	1380	5040
215	1387	5034
216	1391	5022
217	1397	5011
218	1402	5003
219	1408	4992
220	1413	4982
221	1419	4974
222	1424	4962
223	1429	4952
224	1435	4945
225	1441	4935
226	1446	4925
227	1452	4917
228	1457	4908
229	1462	4897
230	1468	4888
231	1473	4878
232	1479	4870
233	1485	4861
234	1490	4850
235	1495	4842
236	1501	4832
237	1505	4821
238	1511	4813
239	1517	4804
240	1522	4796
241	1528	4789
242	1534	4778
243	1539	4768
244	1544	4760
245	1549	4750
246	1554	4739
247	1561	4734
248	1566	4724
249	1571	4713
250	1576	4704
251	1581	4693
252	1586	4682
253	1592	4675
254	1596	4664
255	1601	4652
256	1606	4645
257	1611	4635
258	1616	4625
259	1623	4620
260	1628	4610
261	1633	4600
262	1639	4593
263	1644	4584
264	1649	4574
265	1656	4571
266	1661	4561
267	1666	4552
268	1672	4544
269	1676	4533
270	1682	4525
271	1688	4519
272	1693	4509
273	1698	4501
274	1705	4495
275	1710	4487
276	1715	4477
277	1721	4469
278	1726	4460
279	1731	4451
280	1736	4443
281	1741	4434
282	1746	4424
283	1752	4418
284	1757	4410
285	1763	4401
286	1769	4395
287	1774	4387
288	1780	4379
289	1786	4373
290	1791	4364
291	1796	4354
292	1801	4347
293	1807	4339
294	1812	4331
295	1819	4327
296	1824	4318
297	1829	4310
298	1837	4308
299	1842	4299
300	1848	4293
301	1854	4285
302	1859	4278
303	1866	4274
304	1872	4266
305	1877	4258
306	1879	4242
307	1884	4235
308	1889	4225
309	1894	4217
310	1899	4209
