formula,A_site,B_site,X_site,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,bond_len_BX,inv_bond_sq,stability_index,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site_encoded
CsPbI3,Cs,Pb,I,1.88,1.19,2.2,0.79,2.33,2.66,0.47,0.36,3.05,0.8510311702776147,0.5409090909090909,311.66575200000005,3.8404750249837245,0.33000000000000007,0.5409090909090909,3.39,0.08701629815264399,0.4603304966501643,0.0,0.6,0.0,0.0,1,0
CsPbBr3,Cs,Pb,Br,1.88,1.19,1.96,0.79,2.33,2.96,0.47,0.36,3.36,0.8619968380178864,0.6071428571428571,250.04699999999997,3.850488330047157,0.6299999999999999,0.6071428571428571,3.15,0.10078105316200554,0.5233552230822881,0.0,0.6,0.0,0.0,1,0
CsPbCl3,Cs,Pb,Cl,1.88,1.19,1.81,0.79,2.33,3.16,0.47,0.36,3.61,0.8697413408594533,0.6574585635359116,216.0,3.43109216822269,0.8300000000000001,0.6574585635359116,3.0,0.1111111111111111,0.5718188926092538,0.0,0.6,0.0,0.0,1,0
CsPbF3,Cs,Pb,F,1.88,1.19,1.33,0.79,2.33,3.98,0.47,0.36,3.4,0.9007193522257212,0.894736842105263,128.024064,5.146823828538368,1.65,0.894736842105263,2.52,0.15747039556563364,0.8059067888335399,0.0,0.6,0.0,0.0,0,0
CsPbO3,Cs,Pb,O,1.88,1.19,1.4,0.79,2.33,3.44,0.47,0.36,1.46,0.8954865800354732,0.85,138.991832,4.636749270676052,1.1099999999999999,0.85,2.59,0.14907350814686723,0.7611635930301522,0.0,0.6,0.0,0.0,0,0
CsSnI3,Cs,Sn,I,1.88,1.1,2.2,0.79,1.96,2.66,0.47,1.11,3.05,0.8742411112851859,0.5,287.4960000000001,3.6521669665706264,0.7000000000000002,0.5,3.3000000000000003,0.09182736455463726,0.43712055564259295,0.0,0.6,0.0,0.0,1,0
CsSnBr3,Cs,Sn,Br,1.88,1.1,1.96,0.79,1.96,2.96,0.47,1.11,3.36,0.8873496861948832,0.5612244897959184,229.22092800000001,3.5591947040093967,1.0,0.5612244897959184,3.06,0.10679653124866505,0.49800237490529164,0.0,0.6,0.0,0.0,1,0
CsSnCl3,Cs,Sn,Cl,1.88,1.1,1.81,0.79,1.96,3.16,0.47,1.11,3.61,0.8966405575870653,0.6077348066298343,197.13736800000004,3.013912440276258,1.2000000000000002,0.6077348066298343,2.91,0.11809024456489647,0.5449196758816419,0.0,0.6,0.0,0.0,1,0
CsSnF3,Cs,Sn,F,1.88,1.1,1.33,0.79,1.96,3.98,0.47,1.11,3.4,0.9340793282340811,0.8270676691729324,114.79125600000002,4.45988813593902,2.02,0.8270676691729324,2.43,0.16935087808430285,0.7725468128251799,0.0,0.6,0.0,0.0,0,0
CsSnO3,Cs,Sn,O,1.88,1.1,1.4,0.79,1.96,3.44,0.47,1.11,1.46,0.9277240969167503,0.7857142857142858,125.0,3.9800730654267693,1.48,0.7857142857142858,2.5,0.16,0.7289260761488753,0.0,0.6,0.0,0.0,0,0
CsGeI3,Cs,Ge,I,1.88,0.73,2.2,0.79,2.01,2.66,0.47,1.23,3.05,0.9846401594679568,0.3318181818181818,201.23005600000002,4.837402390338539,0.6500000000000004,0.3318181818181818,2.93,0.11648359328588567,0.326721507459822,0.0,0.6,0.0,0.0,0,0
CsGeBr3,Cs,Ge,Br,1.88,0.73,1.96,0.79,2.01,2.96,0.47,1.23,3.36,1.009401501768157,0.37244897959183676,155.72087199999999,4.747528466619993,0.9500000000000002,0.37244897959183676,2.69,0.13819598955238319,0.3759505593320177,0.0,0.6,0.0,0.0,0,0
CsGeCl3,Cs,Ge,Cl,1.88,0.73,1.81,0.79,2.01,3.16,0.47,1.23,3.61,1.0272535521962047,0.4033149171270718,131.09651200000002,3.948252456477925,1.1500000000000004,0.4033149171270718,2.54,0.15500031000062,0.4143066812725024,0.0,0.6,0.0,0.0,1,0
CsGeF3,Cs,Ge,F,1.88,0.73,1.33,0.79,2.01,3.98,0.47,1.23,3.4,1.1018508580625328,0.5488721804511277,69.934528,6.225873440156884,1.9700000000000002,0.5488721804511277,2.06,0.2356489772834386,0.6047752829967284,0.0,0.6,0.0,0.0,0,0
